PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
48034	9.954013	0.84813	0.718203	-0.035477	0.029373	-0.03376	-0.743408	-0.169434	0.338867
48035	9.899668	0.819467	0.752077	-0.067902	0.021553	-0.037384	-0.740967	-0.169434	0.335938
48036	9.844365	0.717988	0.79079	-0.08831	0.011063	-0.023842	-0.748291	-0.167236	0.344482
48037	9.802178	0.653425	0.812315	-0.107574	0.004005	-0.016022	-0.748291	-0.167236	0.341797
48038	9.771479	0.574785	0.78875	-0.121689	0.001907	-0.017738	-0.748047	-0.171387	0.344727
48039	9.710713	0.488392	0.805358	-0.128937	-0.012779	-0.01297	-0.743408	-0.169434	0.338867
48040	9.686334	0.390313	0.834979	-0.144005	-0.014877	-0.004005	-0.748047	-0.169434	0.341797
48041	9.674236	0.359616	0.871193	-0.146484	-0.038719	-0.003052	-0.738525	-0.171631	0.333252
48042	9.741694	0.321251	0.855459	-0.140381	-0.04158	0.012016	-0.745605	-0.167236	0.328125
48043	9.78415	0.285237	0.785285	-0.138855	-0.046349	0.022125	-0.74585	-0.169434	0.339111
48044	9.796769	0.251377	0.768279	-0.135231	-0.056076	0.022697	-0.74585	-0.165039	0.338623
48045	9.826978	0.211085	0.845341	-0.121307	-0.064659	0.041199	-0.743408	-0.169434	0.336182
48046	9.803254	0.199507	0.936889	-0.127411	-0.062943	0.04425	-0.743408	-0.167236	0.338623
48047	9.784395	0.148652	0.954172	-0.120544	-0.085258	0.068665	-0.740967	-0.171631	0.338623
48048	9.779159	0.177069	0.9215	-0.10891	-0.086594	0.076103	-0.745605	-0.171631	0.33374
48049	9.796655	0.166527	0.941514	-0.110626	-0.094414	0.078583	-0.741211	-0.169434	0.343994
48050	9.822053	0.157439	0.91359	-0.108719	-0.103378	0.085258	-0.743164	-0.173828	0.341797
48051	9.857793	0.116857	1.020074	-0.085449	-0.10891	0.096893	-0.745605	-0.171631	0.341797
48052	9.889475	0.082324	1.002679	-0.079536	-0.118637	0.089836	-0.741455	-0.165283	0.346191
48053	9.924927	0.11749	1.038416	-0.072479	-0.107384	0.084686	-0.741455	-0.165283	0.346191
48054	9.962638	0.089842	1.009668	-0.067902	-0.101852	0.086784	-0.743652	-0.167236	0.343994
48055	9.949272	0.056799	1.026509	-0.048828	-0.100517	0.080109	-0.741211	-0.171631	0.343994
48056	9.999093	0.048668	0.992292	-0.047493	-0.093842	0.070953	-0.74585	-0.169434	0.341797
48057	10.004212	0.081577	1.014197	-0.033569	-0.102043	0.074005	-0.748535	-0.165039	0.346924
48058	10.047826	0.06763	0.930814	-0.038147	-0.098419	0.074005	-0.743652	-0.165283	0.338379
48059	10.10788	0.087956	0.886274	-0.019836	-0.09594	0.069427	-0.743896	-0.163086	0.346436
48060	10.120915	0.123739	0.84626	-0.038338	-0.091553	0.061798	-0.743896	-0.165039	0.354492
48061	10.150581	0.192299	0.86841	-0.05188	-0.087547	0.054932	-0.736816	-0.16748	0.348633
48062	10.102449	0.259498	0.787088	-0.059509	-0.074768	0.055695	-0.746338	-0.160889	0.351807
48063	10.034514	0.308342	0.765857	-0.086975	-0.066185	0.05188	-0.741455	-0.165283	0.348877
48064	10.053439	0.369927	0.723452	-0.097466	-0.054932	0.04425	-0.74585	-0.169434	0.344238
48065	10.009989	0.381571	0.749262	-0.104523	-0.033379	0.051117	-0.741455	-0.165283	0.346191
48066	9.973702	0.345258	0.777163	-0.126648	-0.025177	0.045013	-0.746094	-0.165039	0.343994
48067	9.997704	0.295779	0.805075	-0.135803	-0.015831	0.054932	-0.748291	-0.167236	0.347168
48068	10.028396	0.234642	0.840204	-0.145912	-0.018311	0.04406	-0.748535	-0.160889	0.34668
48069	10.046396	0.156327	0.781603	-0.144196	0.004768	0.035858	-0.741699	-0.163086	0.351562
48070	10.046255	0.090016	0.770431	-0.148773	0.014877	0.045776	-0.746338	-0.160889	0.346436
48071	10.040187	0.010122	0.825179	-0.134277	0.023842	0.030518	-0.748779	-0.160889	0.349365
48072	9.98493	-0.036686	0.821718	-0.127983	0.031662	0.028992	-0.743896	-0.163086	0.346436
48073	9.960807	-0.038581	0.855921	-0.1297	0.029182	0.028229	-0.743652	-0.165283	0.34375
48074	9.917814	-0.085277	0.882657	-0.130081	0.022888	0.027275	-0.746338	-0.165039	0.354736
48075	9.924181	-0.080875	0.831553	-0.12207	0.030708	0.020599	-0.743652	-0.165283	0.341064
48076	9.948331	-0.059695	0.834274	-0.107765	0.025558	0.02346	-0.743896	-0.160889	0.343506
48077	9.954763	-0.068411	0.849123	-0.102997	0.01545	0.016785	-0.741455	-0.163086	0.343506
48078	9.942337	-0.065346	0.905726	-0.094223	0.020218	0.024414	-0.748291	-0.165039	0.336182
48079	9.942505	-0.074971	0.941095	-0.085449	0.023842	0.026703	-0.743896	-0.160889	0.338135
48080	9.905585	-0.072438	0.925137	-0.080681	0.027084	0.028229	-0.743652	-0.163086	0.338379
48081	9.881484	-0.081518	0.86163	-0.075531	0.021553	0.037384	-0.746094	-0.163086	0.341309
48082	9.875093	-0.10952	0.875863	-0.064087	0.022125	0.022125	-0.748047	-0.163086	0.328125
48083	9.844856	-0.15423	0.861612	-0.058746	0.021553	0.028229	-0.746094	-0.163086	0.338623
48084	9.862855	-0.151088	0.839602	-0.041771	0.029373	0.022125	-0.748291	-0.165039	0.338867
48085	9.881489	-0.116669	0.788543	-0.04425	0.024605	0.010681	-0.741455	-0.160889	0.335205
48086	9.856776	-0.124345	0.723935	-0.025558	0.029373	0.015259	-0.743652	-0.169434	0.346924
48087	9.924187	-0.043057	0.709795	-0.008392	0.036049	0.006104	-0.74585	-0.167236	0.341553
48088	9.911512	-0.025083	0.781417	0.004768	0.055313	-0.001526	-0.746338	-0.160889	0.34375
48089	9.948499	0.030747	0.747711	0.010681	0.061989	-0.003815	-0.74585	-0.167236	0.336182
48090	9.95415	0.061159	0.704863	0.0103	0.059509	0.005913	-0.750488	-0.162842	0.333496
48091	9.93632	0.066197	0.796075	0.020599	0.052834	0.020599	-0.748291	-0.165039	0.336182
48092	9.978563	0.070418	0.819542	0.006294	0.052643	0.018883	-0.750488	-0.162842	0.328125
48093	9.979077	0.060531	0.746958	0.007629	0.04673	0.010681	-0.750732	-0.162842	0.336182
48094	9.954313	0.016426	0.726729	-0.00267	0.03891	0.016594	-0.750488	-0.167236	0.333984
48095	9.942435	-0.043405	0.747144	0.010681	0.050545	0.014496	-0.748291	-0.165039	0.333496
48096	9.923653	-0.075308	0.764165	0.009727	0.047684	0.013542	-0.743896	-0.163086	0.34375
48097	9.887469	-0.104773	0.81439	0.019836	0.052834	0.022125	-0.74585	-0.163086	0.330566
48098	9.935873	-0.075849	0.80072	0.024414	0.042343	0.012207	-0.746094	-0.158691	0.327393
48099	9.89359	-0.061619	0.838611	0.013733	0.049019	0.01297	-0.750488	-0.165039	0.33374
48100	9.929734	-0.031835	0.788656	0.028419	0.053024	0.003815	-0.757568	-0.164795	0.331787
48101	9.918059	0.000133	0.758851	0.015259	0.040627	-0.001526	-0.748535	-0.162842	0.343994
48102	9.893242	0.024603	0.787366	0.016403	0.044632	0.001335	-0.748291	-0.158691	0.327637
48103	9.893614	0.04894	0.789663	0.009155	0.04673	-0.001526	-0.748047	-0.167236	0.33374
48104	9.911479	0.054798	0.848674	0.012779	0.036621	0.007629	-0.753174	-0.158447	0.338867
48105	9.905863	0.04249	0.837886	0.025177	0.034523	0.006866	-0.750732	-0.160645	0.330811
48106	9.893292	0.011409	0.877554	0.030136	0.02861	0.009155	-0.755371	-0.162842	0.33667
48107	9.905919	-0.006323	0.867692	0.019073	0.020027	0.006104	-0.748291	-0.158691	0.327637
48108	9.905732	-0.03713	0.814682	0.029182	0.020218	0.003052	-0.757812	-0.158447	0.33667
48109	9.905962	-0.037346	0.751276	0.028229	0.010872	0.016785	-0.75293	-0.162842	0.33374
48110	9.948506	-0.03848	0.794912	0.040436	0.008011	0.009918	-0.750732	-0.158691	0.327881
48111	9.966989	-0.073313	0.763607	0.031281	0.013161	0.003815	-0.750488	-0.165039	0.331055
48112	10.015588	-0.061482	0.771441	0.040245	0.022888	0.008202	-0.748291	-0.158691	0.324951
48113	9.985236	-0.049045	0.782717	0.041962	0.029182	0.007629	-0.743652	-0.163086	0.330322
48114	9.972741	-0.031093	0.755141	0.041962	0.030899	0.00515	-0.743652	-0.163086	0.341064
48115	9.966927	-0.024545	0.721789	0.048065	0.031471	0.006104	-0.750732	-0.158691	0.327881
48116	9.88122	-0.030757	0.761006	0.042152	0.022507	0.002289	-0.750488	-0.162842	0.325439
48117	9.844861	-0.030817	0.825268	0.045776	0.026131	0.009918	-0.745605	-0.165283	0.325195
48118	9.85677	0.004977	0.797439	0.052261	0.030518	0.013542	-0.755127	-0.160645	0.325928
48119	9.857071	-0.018515	0.764307	0.045013	0.027657	0.007629	-0.750732	-0.158691	0.330566
48120	9.875091	0.02376	0.864542	0.039482	0.02594	0.008965	-0.748291	-0.158691	0.324951
48121	9.89979	-0.012203	0.831412	0.037384	0.026894	0.003052	-0.750732	-0.158691	0.325195
48122	9.911735	-0.006234	0.851986	0.04921	0.020599	0.006866	-0.748291	-0.160889	0.333252
48123	9.893701	-0.024218	0.873912	0.045013	0.022316	0.0	-0.750732	-0.158691	0.330566
48124	9.899557	-0.048877	0.869546	0.048637	0.01297	0.01297	-0.75293	-0.162842	0.336426
48125	9.893697	-0.042447	0.855682	0.047302	0.023842	-0.001526	-0.750977	-0.154297	0.333008
48126	9.917896	-0.017676	0.808336	0.048447	0.007629	0.000763	-0.748291	-0.158691	0.31958
48127	9.94871	-0.023545	0.793739	0.056458	0.005531	-0.01297	-0.75293	-0.158691	0.325439
48128	9.924214	-0.052672	0.787955	0.041771	0.002289	-0.007629	-0.748291	-0.162842	0.335938
48129	9.924325	-0.030165	0.811671	0.049591	-0.002098	-0.003052	-0.75293	-0.162842	0.33374
48130	9.887721	-0.029241	0.85393	0.045395	-0.005722	-0.008392	-0.750977	-0.1521	0.327393
48131	9.869404	-0.012082	0.8909	0.045013	-0.004387	0.001526	-0.750732	-0.160645	0.330811
48132	9.851113	0.006584	0.816923	0.043297	-0.009537	-0.002289	-0.752686	-0.162842	0.322998
48133	9.857249	0.018886	0.829218	0.048065	-0.017357	-0.007629	-0.750488	-0.160889	0.328125
48134	9.875659	0.037638	0.839598	0.048065	-0.017548	0.006676	-0.753174	-0.158447	0.336182
48135	9.899947	0.074321	0.847776	0.049591	-0.012016	-0.017548	-0.750732	-0.158691	0.333252
48136	9.869487	0.045681	0.858142	0.042152	-0.024414	-0.013733	-0.755371	-0.160645	0.336426
48137	9.887841	0.050118	0.864965	0.036621	-0.034904	-0.022888	-0.757812	-0.160645	0.333984
48138	9.845405	0.040361	0.904235	0.039673	-0.033569	-0.020027	-0.750732	-0.162842	0.336182
48139	9.826837	0.019335	0.840193	0.029755	-0.042534	-0.018311	-0.750732	-0.158691	0.330566
48140	9.85768	0.045261	0.878266	0.03376	-0.049591	-0.00782	-0.750732	-0.158691	0.333252
48141	9.869548	0.037868	0.797492	0.03891	-0.041771	-0.022125	-0.750732	-0.158691	0.333252
48142	9.912555	0.064676	0.842235	0.033188	-0.039291	-0.020599	-0.755371	-0.162842	0.339355
48143	9.924515	0.056248	0.852102	0.051117	-0.047874	-0.022125	-0.748291	-0.158691	0.330322
48144	9.937064	0.06465	0.859926	0.045586	-0.038147	-0.016975	-0.748535	-0.158691	0.341064
48145	9.97333	0.073815	0.840033	0.045776	-0.044823	-0.007629	-0.74585	-0.160889	0.330322
48146	9.985817	0.099454	0.86609	0.043106	-0.042343	-0.009346	-0.750732	-0.160645	0.330811
48147	9.973303	0.09239	0.815847	0.037384	-0.040245	-0.013733	-0.753174	-0.160645	0.338867
48148	9.97967	0.111814	0.769238	0.03376	-0.035858	-0.004005	-0.753174	-0.158447	0.336182
48149	9.997672	0.110176	0.798104	0.030518	-0.028801	-0.003815	-0.750977	-0.158691	0.335938
48150	9.991756	0.091958	0.801359	0.032043	-0.026703	0.005913	-0.755615	-0.15625	0.333496
48151	9.985415	0.085835	0.762059	0.031281	-0.017357	-0.005341	-0.750977	-0.160645	0.344238
48152	9.967175	0.019465	0.821686	0.018883	-0.009537	-0.006294	-0.753174	-0.160645	0.338867
48153	9.979265	0.024629	0.799339	0.025177	-0.004387	-0.002289	-0.746094	-0.158691	0.335449
48154	9.924327	0.01913	0.872191	0.020218	-0.00267	-0.007057	-0.748535	-0.158691	0.327881
48155	9.936536	5.5e-05	0.903178	0.020599	-0.002861	0.000763	-0.750977	-0.158447	0.338623
48156	9.918245	0.012563	0.878164	0.024986	-0.007248	-0.003052	-0.755615	-0.158447	0.328369
48157	9.930494	0.030851	0.896389	0.023651	-0.016594	-0.004578	-0.750732	-0.158691	0.325439
48158	9.893957	0.012985	0.864264	0.027847	-0.014496	-0.001717	-0.748291	-0.162842	0.330811
48159	9.936585	0.055377	0.88429	0.032043	-0.014305	-0.006104	-0.751221	-0.156494	0.338623
48160	9.924474	0.049552	0.943867	0.03376	-0.01297	0.005913	-0.748535	-0.160645	0.333252
48161	9.936627	0.042978	0.908284	0.055695	-0.022697	0.0	-0.749023	-0.154297	0.346191
48162	9.918508	0.024557	0.899796	0.043488	-0.022888	0.010681	-0.753418	-0.158447	0.341553
48163	9.948806	0.061023	0.93914	0.045776	-0.015831	0.004578	-0.755859	-0.158447	0.339111
48164	9.991585	0.066792	0.931764	0.042152	-0.006866	0.008965	-0.753662	-0.154297	0.335938
48165	10.021988	0.079232	0.921478	0.025177	-0.002861	0.004578	-0.749023	-0.156494	0.34375
48166	10.021932	0.121693	0.994911	0.033569	0.008774	0.00515	-0.748535	-0.156494	0.327637
48167	9.966962	0.122617	0.989495	0.010681	0.014687	-0.009918	-0.748779	-0.160645	0.341309
48168	9.930155	0.148341	0.996826	0.010109	0.012589	-0.015259	-0.748779	-0.158691	0.338623
48169	9.881524	0.140603	1.111415	-0.000763	0.011635	-0.004578	-0.748535	-0.158691	0.330566
48170	9.844744	0.128659	1.16101	-0.003242	0.005913	-0.00248	-0.750977	-0.162842	0.339111
48171	9.844889	0.122091	1.15426	-0.016022	0.013924	-0.002289	-0.746338	-0.158691	0.335693
48172	9.838595	0.079654	1.210477	-0.018883	0.01297	-0.008583	-0.750977	-0.158447	0.335938
48173	9.912086	0.073669	1.172042	-0.017548	0.003242	-0.010681	-0.746094	-0.160889	0.333008
48174	9.905855	0.06261	1.178687	-0.022507	0.008392	-0.019073	-0.746094	-0.158691	0.322266
48175	9.893756	-0.005011	1.123433	-0.020599	0.00782	-0.024414	-0.749023	-0.1521	0.34082
48176	9.881506	-0.014902	1.038189	-0.007439	-0.001526	-0.025368	-0.750977	-0.160645	0.338867
48177	9.930411	-0.041754	1.056029	-0.009918	0.00248	-0.020599	-0.750977	-0.158447	0.333496
48178	9.887597	-0.039705	0.970727	0.009537	0.001526	-0.021553	-0.751221	-0.154297	0.338379
48179	9.90608	-0.017251	0.957507	0.016022	-0.015068	-0.019836	-0.750977	-0.160645	0.338867
48180	9.91839	0.033702	0.89474	0.029182	-0.019073	-0.019264	-0.750732	-0.158691	0.325439
48181	9.924399	0.001207	0.804651	0.036621	-0.020409	-0.021362	-0.751221	-0.156494	0.338623
48182	9.954979	0.0222	0.760152	0.053787	-0.013733	-0.026131	-0.751221	-0.158447	0.341309
48183	9.960885	0.05628	0.861121	0.05722	0.010872	-0.022125	-0.753174	-0.160645	0.33374
48184	9.985116	0.095338	0.819245	0.076866	0.009155	-0.016022	-0.751221	-0.156494	0.338623
48185	9.997475	0.129076	0.861428	0.085449	0.017738	-0.010681	-0.748535	-0.160645	0.335938
48186	9.954546	0.106196	0.887644	0.095749	0.021362	-0.004005	-0.750977	-0.158691	0.328125
48187	9.991357	0.129403	0.867642	0.090027	0.020027	-0.016785	-0.746338	-0.154297	0.329834
48188	9.954464	0.143557	0.912042	0.094414	0.017548	-0.005341	-0.753418	-0.156494	0.330811
48189	9.954772	0.19598	0.922155	0.095367	0.012398	-0.004578	-0.753418	-0.158447	0.338867
48190	9.942396	0.197122	0.929021	0.085831	0.008392	-0.001526	-0.746094	-0.158691	0.327637
48191	9.942579	0.225667	0.909987	0.080872	0.013161	0.010681	-0.755615	-0.15625	0.331055
48192	9.942352	0.231376	0.923627	0.066566	0.020599	0.009727	-0.755371	-0.162842	0.328857
48193	9.936462	0.200665	0.965142	0.056458	0.016975	0.020599	-0.755859	-0.15625	0.33374
48194	9.899625	0.180551	0.905979	0.041962	0.023651	0.022697	-0.748779	-0.154297	0.330078
48195	9.893739	0.201264	0.922308	0.048828	0.014687	0.007629	-0.755615	-0.158447	0.336426
48196	9.893538	0.182067	0.899462	0.03643	0.019073	0.016594	-0.746826	-0.152344	0.343262
48197	9.893756	0.139557	0.916117	0.034332	0.012398	0.019836	-0.751465	-0.1521	0.338135
48198	9.87539	0.11973	0.935097	0.027847	0.00267	0.015259	-0.753418	-0.158447	0.338867
48199	9.875427	0.133118	1.007837	0.009155	0.01545	0.024414	-0.746582	-0.152344	0.327148
48200	9.899781	0.137184	0.95298	0.019646	-0.011826	0.018311	-0.750977	-0.156494	0.333252
48201	9.887736	0.078357	0.964023	0.006104	-0.006676	0.020599	-0.748779	-0.156494	0.330322
48202	9.924359	0.095401	0.908219	-0.005531	-0.008965	0.004578	-0.755859	-0.15625	0.336426
48203	9.893873	0.091068	0.841468	-0.007629	-0.016594	0.009155	-0.750977	-0.160645	0.336182
48204	9.900036	0.059502	0.913426	-0.006866	-0.00782	0.009155	-0.755859	-0.154053	0.336182
48205	9.893896	0.024188	0.877822	-0.008392	-0.021935	0.003815	-0.755859	-0.15625	0.33374
48206	9.887948	0.017494	0.924795	-0.002098	-0.013161	0.006676	-0.751465	-0.149902	0.34082
48207	9.924392	0.006186	0.871941	0.001526	-0.017357	-0.001526	-0.753418	-0.154297	0.333252
48208	9.912286	-0.023884	0.790644	0.012016	-0.020218	-0.00782	-0.753174	-0.158447	0.325439
48209	9.91825	-0.023948	0.884605	0.019836	-0.008202	-0.007629	-0.748779	-0.154297	0.335449
48210	9.893884	-0.011174	0.889312	0.013733	-0.019073	-0.002289	-0.753418	-0.154297	0.330566
48211	9.906092	-0.011667	0.871831	0.019836	-0.019646	-0.009155	-0.753418	-0.15625	0.336182
48212	9.887886	-0.017577	0.89416	0.020027	-0.021362	0.008202	-0.750977	-0.160645	0.336182
48213	9.90007	0.02454	0.864779	0.028992	-0.038719	0.0	-0.751465	-0.154297	0.341064
48214	9.900344	0.012341	0.848766	0.046539	-0.036621	0.00515	-0.751221	-0.154297	0.333008
