PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
55482	9.979384	0.283962	0.154721	0.017166	-0.025558	0.014496	-0.765625	0.427246	0.055664
55483	9.948748	0.219465	0.08412	0.009918	-0.026512	0.005341	-0.761475	0.435791	0.060059
55484	9.991455	0.207227	0.063466	0.011253	-0.017929	-0.005531	-0.76123	0.433594	0.054932
55485	10.070791	0.33604	0.017416	0.012207	-0.017357	-0.006866	-0.763672	0.431396	0.060547
55486	10.076763	0.374263	0.021937	0.027084	-0.0103	-0.025368	-0.761475	0.433594	0.062988
55487	10.113408	0.484582	-0.122318	0.042725	-0.002861	-0.048065	-0.765869	0.429443	0.05835
55488	10.192437	0.490107	-0.159048	0.047112	0.006485	-0.062752	-0.76123	0.435547	0.054688
55489	10.198816	0.534252	-0.127283	0.034332	0.019264	-0.064087	-0.760986	0.427002	0.05542
55490	10.10682	0.679704	-0.095542	0.019455	0.011063	-0.038338	-0.761475	0.431396	0.068359
55491	9.954775	0.757628	-0.158632	0.006866	0.001717	-0.016022	-0.763916	0.435791	0.062988
55492	9.802027	0.86222	-0.184135	-0.025749	-0.02327	-0.001526	-0.763428	0.429199	0.058105
55493	9.619082	0.946426	-0.184231	-0.054932	-0.028801	-0.006866	-0.76123	0.433594	0.057617
55494	9.490719	1.032428	-0.229627	-0.078583	-0.042343	-0.001717	-0.76123	0.427002	0.066162
55495	9.387043	1.044776	-0.300479	-0.119782	-0.043297	-0.019073	-0.765869	0.429443	0.066406
55496	9.337865	1.07111	-0.34545	-0.148201	-0.033951	-0.013733	-0.760986	0.429199	0.057861
55497	9.466465	1.062869	-0.378208	-0.167084	-0.014305	-0.011444	-0.760986	0.429199	0.057861
55498	9.679985	0.978429	-0.285522	-0.186539	0.004959	-0.001526	-0.763672	0.429199	0.066162
55499	9.893908	0.719442	-0.266612	-0.212097	0.023842	0.021362	-0.765625	0.427246	0.061035
55500	10.156446	0.417574	-0.202857	-0.243568	0.017929	0.039482	-0.759033	0.431396	0.068115
55501	10.449272	0.242635	-0.108091	-0.235748	0.02842	0.031281	-0.768555	0.433594	0.063477
55502	10.693376	0.112055	-0.055912	-0.22583	0.032806	0.013733	-0.768555	0.431641	0.069092
55503	10.748276	0.12204	0.069615	-0.210571	0.043678	-0.000763	-0.763916	0.433594	0.065918
55504	10.632164	0.202809	0.094476	-0.172234	0.073242	-0.031281	-0.76123	0.425049	0.071533
55505	10.290371	0.330263	0.267684	-0.144196	0.097084	-0.016785	-0.763916	0.435791	0.071045
55506	9.923616	0.409883	0.370288	-0.159073	0.117874	-0.003815	-0.763916	0.433594	0.065918
55507	9.765219	0.450329	0.641928	-0.148773	0.139809	0.017548	-0.768311	0.431641	0.061035
55508	9.672286	0.354181	0.887866	-0.149727	0.142288	0.045776	-0.765869	0.429443	0.066406
55509	9.777147	0.172418	0.978167	-0.144959	0.155067	0.079346	-0.756348	0.429199	0.060059
55510	9.891275	-0.019772	1.0846	-0.119019	0.148392	0.072479	-0.763428	0.431396	0.057861
55511	9.923635	-0.12578	1.080073	-0.098419	0.119209	0.064087	-0.763672	0.433594	0.060547
55512	9.794358	-0.149913	0.968771	-0.070763	0.106812	0.039673	-0.761719	0.435791	0.068115
55513	9.692008	-0.100046	0.785591	-0.062561	0.090218	0.04425	-0.758789	0.431396	0.057373
55514	9.600136	0.028884	0.531508	-0.037003	0.085831	0.061798	-0.763672	0.431396	0.063232
55515	9.594592	0.124718	0.34684	-0.030518	0.104713	0.070953	-0.765869	0.433594	0.055176
55516	9.716318	0.189554	0.413765	0.006676	0.140762	0.099182	-0.759033	0.437744	0.054199
55517	9.844727	0.256072	0.472566	0.018311	0.177193	0.130463	-0.76123	0.435547	0.054688
55518	9.929755	0.248363	0.452954	0.001907	0.166321	0.145531	-0.759033	0.435547	0.057129
55519	10.168377	0.292402	0.349912	0.000763	0.159645	0.131226	-0.761475	0.435791	0.057373
55520	10.296543	0.235183	0.231674	-0.010872	0.150299	0.14782	-0.754395	0.439697	0.053711
55521	10.266104	0.201095	0.184852	-0.045776	0.152016	0.124359	-0.761475	0.442139	0.051514
55522	10.223824	0.291813	0.071299	-0.082779	0.131226	0.130272	-0.75708	0.441895	0.056396
55523	10.016131	0.378366	-0.062992	-0.105286	0.078774	0.123596	-0.759277	0.442139	0.05127
55524	9.803562	0.487972	-0.367268	-0.11158	0.05455	0.144768	-0.759033	0.439941	0.043457
55525	9.595236	0.463595	-0.607231	-0.093842	0.060463	0.138855	-0.76416	0.448486	0.048584
55526	9.492175	0.310641	-0.588327	-0.085449	0.077438	0.137329	-0.744873	0.439453	0.041992
55527	9.686552	0.097939	-0.410075	-0.080109	0.101662	0.123596	-0.752441	0.448242	0.050049
55528	9.942961	-0.084365	-0.313775	-0.051689	0.117111	0.104523	-0.754883	0.450439	0.052979
55529	10.144019	-0.224431	-0.134593	-0.023651	0.114632	0.093079	-0.752441	0.448242	0.044678
55530	10.19232	-0.386126	0.018413	0.02594	0.133896	0.083923	-0.759277	0.446289	0.045654
55531	10.064411	-0.480486	0.122519	0.070953	0.126839	0.088501	-0.75708	0.448486	0.045166
55532	9.886594	-0.458341	0.244731	0.129509	0.117874	0.086212	-0.752441	0.448242	0.050049
55533	9.747045	-0.375982	0.26722	0.179291	0.090981	0.080109	-0.75	0.450439	0.039062
55534	9.594052	-0.193861	0.29393	0.204849	0.083542	0.079346	-0.756836	0.450439	0.03418
55535	9.625192	0.154555	0.290876	0.18692	0.086403	0.091553	-0.752441	0.456787	0.036133
55536	9.851295	0.419491	0.328186	0.134087	0.07019	0.113487	-0.754639	0.450439	0.036865
55537	10.144202	0.365757	0.169702	0.071716	0.099373	0.130463	-0.754883	0.452637	0.039307
55538	10.705167	0.163013	0.415159	0.060272	0.151062	0.121117	-0.747803	0.452393	0.038574
55539	11.174707	-0.127731	0.720059	0.098419	0.214577	0.107574	-0.752441	0.452637	0.039062
55540	11.195754	-0.38024	1.087945	0.154877	0.241661	0.067902	-0.749756	0.452393	0.028076
55541	10.820219	-0.379027	1.220034	0.185585	0.206757	0.032043	-0.745605	0.460938	0.0271
55542	10.152741	-0.214197	1.165736	0.178528	0.175858	0.009155	-0.75	0.456787	0.027832
55543	9.557311	0.085496	1.069138	0.152588	0.15049	0.016022	-0.75	0.458984	0.022217
55544	9.189576	0.389885	1.069291	0.118065	0.14267	0.031853	-0.747803	0.45874	0.030029
55545	9.240229	0.601761	1.110216	0.079346	0.123787	0.063324	-0.752197	0.456787	0.022705
55546	9.476945	0.68687	1.317299	0.019455	0.131989	0.084496	-0.752686	0.463135	0.024902
55547	9.746637	0.605562	1.532109	-0.052643	0.12455	0.090027	-0.752441	0.458984	0.022461
55548	10.025839	0.467914	1.478331	-0.074577	0.134277	0.077629	-0.757324	0.463379	0.030518
55549	10.18586	0.307732	1.447601	-0.082397	0.138283	0.057983	-0.750244	0.460938	0.021973
55550	10.116614	0.240253	1.504558	-0.091553	0.141907	0.042534	-0.757324	0.467529	0.01416
55551	9.947951	0.217469	1.45831	-0.112152	0.11158	0.028992	-0.747559	0.456787	0.019531
55552	9.696325	0.188119	1.286454	-0.136757	0.120163	0.041771	-0.752686	0.465332	0.021973
55553	9.508598	0.240565	1.117428	-0.160217	0.134468	0.056458	-0.754639	0.461182	0.014404
55554	9.305715	0.3	1.136928	-0.201798	0.144196	0.066185	-0.747803	0.467285	0.008057
55555	9.496469	0.244698	0.941411	-0.263786	0.152588	0.09079	-0.750244	0.467529	0.016113
55556	9.909939	0.018737	0.914504	-0.285721	0.165367	0.10376	-0.75	0.463135	0.016602
55557	10.277415	-0.299693	0.92955	-0.292778	0.162506	0.104523	-0.748047	0.467529	0.018799
55558	10.561898	-0.611452	0.921424	-0.272179	0.183296	0.083923	-0.752686	0.469727	0.013672
55559	10.67994	-0.816369	1.034344	-0.253105	0.18692	0.061798	-0.752686	0.471924	0.013428
55560	10.585653	-0.842564	1.191865	-0.211334	0.17643	0.032043	-0.757812	0.474121	0.019043
55561	10.210068	-0.783673	1.37411	-0.19455	0.15049	0.021362	-0.750488	0.469727	0.016113
55562	9.829728	-0.616769	1.367741	-0.171661	0.119019	0.009727	-0.752686	0.469727	0.013672
55563	9.386526	-0.435009	1.280074	-0.153351	0.101662	0.014496	-0.745605	0.467285	0.013184
55564	8.969963	-0.267893	1.301437	-0.123787	0.113297	0.028992	-0.748047	0.467529	0.016113
55565	8.769942	-0.125077	1.323458	-0.100708	0.117683	0.053406	-0.748291	0.473877	0.015625
55566	8.786468	-0.150619	1.39461	-0.098038	0.117874	0.078583	-0.750488	0.47168	0.015869
55567	9.013779	-0.358528	1.525317	-0.079346	0.126076	0.086975	-0.750488	0.47168	0.010498
55568	9.444629	-0.696643	1.439087	-0.050926	0.124741	0.068665	-0.74585	0.473877	0.015381
55569	9.990541	-0.898453	1.433834	0.008392	0.11158	0.02594	-0.748047	0.473877	0.004883
