PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
50200	0.626959	-9.381958	-0.768878	0.132179	0.052261	-0.073242	0.335205	0.963135	-0.201904
50201	0.656067	-9.363014	-0.70231	0.119782	0.027657	-0.061798	0.334961	0.963135	-0.199463
50202	0.704202	-9.418555	-0.752151	0.115967	-0.003815	-0.051117	0.328613	0.956787	-0.198486
50203	0.734891	-9.442336	-0.770403	0.102234	-0.022697	-0.054169	0.330566	0.963135	-0.20166
50204	0.794173	-9.705142	-0.700034	0.092506	-0.035095	-0.03891	0.330811	0.960938	-0.203857
50205	0.727603	-9.820732	-0.679704	0.084686	-0.073814	-0.031281	0.333008	0.95874	-0.201416
50206	0.863406	-9.491565	-0.733991	0.078583	-0.100708	-0.016785	0.328613	0.956543	-0.205811
50207	0.812348	-9.753581	-0.760228	0.06485	-0.111198	-0.020599	0.330811	0.963135	-0.208984
50208	0.843502	-9.674595	-0.737457	0.052071	-0.140381	-0.012207	0.326416	0.95874	-0.210693
50209	0.939624	-9.729213	-0.797389	0.059509	-0.153923	-0.006104	0.333008	0.963135	-0.209229
50210	0.902075	-9.998238	-0.719875	0.054169	-0.165558	0.001526	0.326416	0.95874	-0.208252
50211	0.877917	-10.217493	-0.693996	0.051117	-0.183678	0.006866	0.330566	0.965088	-0.21167
50212	0.936226	-10.346107	-0.531932	0.047493	-0.172424	0.029755	0.328613	0.960938	-0.213623
50213	0.925619	-10.41289	-0.53509	0.054932	-0.181389	0.031281	0.328369	0.963135	-0.206299
50214	0.902506	-10.254918	-0.567796	0.055695	-0.183868	0.041008	0.328613	0.95874	-0.210938
50215	0.876349	-10.107777	-0.546862	0.06485	-0.187492	0.040436	0.324219	0.95874	-0.215576
50216	0.925618	-9.901109	-0.566428	0.071907	-0.180054	0.051689	0.328857	0.95874	-0.21582
50217	0.839119	-9.863738	-0.582791	0.079346	-0.182152	0.053406	0.335693	0.95874	-0.216309
50218	0.826375	-9.736587	-0.520745	0.098419	-0.175858	0.064659	0.328857	0.95874	-0.213379
50219	0.813802	-9.638043	-0.495713	0.113678	-0.172234	0.075531	0.333496	0.956543	-0.223389
50220	0.773965	-9.505155	-0.552766	0.126076	-0.147247	0.100517	0.326904	0.954346	-0.227539
50221	0.733442	-9.430598	-0.4769	0.122833	-0.139427	0.100708	0.331299	0.956543	-0.223145
50222	0.6432	-9.364695	-0.417149	0.1297	-0.112152	0.120354	0.338379	0.952148	-0.22583
50223	0.561311	-9.326791	-0.415893	0.118256	-0.093651	0.131226	0.33374	0.956543	-0.22583
50224	0.481489	-9.260719	-0.399941	0.106621	-0.09613	0.134277	0.331299	0.956543	-0.22583
50225	0.408686	-9.326614	-0.386778	0.086212	-0.083733	0.132751	0.338379	0.954346	-0.226074
50226	0.273848	-9.430897	-0.32458	0.071716	-0.063324	0.130272	0.338379	0.954346	-0.226074
50227	0.213445	-9.442378	-0.351486	0.054932	-0.069237	0.130463	0.338135	0.954346	-0.223633
50228	0.102434	-9.503675	-0.341702	0.024986	-0.080109	0.143433	0.338379	0.952148	-0.228271
50229	0.048839	-9.539866	-0.328518	0.022888	-0.07534	0.125122	0.34082	0.952148	-0.233398
50230	-0.07289	-9.600894	-0.424859	0.003433	-0.08316	0.112152	0.34082	0.947998	-0.22583
50231	-0.060147	-9.680148	-0.457703	0.000763	-0.084496	0.10376	0.343262	0.947998	-0.22583
50232	-0.131768	-9.734889	-0.501455	-0.023079	-0.095367	0.102234	0.340576	0.952148	-0.226074
50233	-0.133827	-9.698335	-0.611548	-0.02594	-0.094414	0.110626	0.342773	0.954346	-0.229004
50234	-0.144755	-9.685855	-0.644285	-0.020981	-0.113297	0.100517	0.347656	0.949951	-0.231445
50235	-0.194157	-9.753254	-0.62361	-0.023651	-0.107384	0.094605	0.347656	0.949951	-0.236328
50236	-0.240996	-9.765166	-0.637597	-0.017738	-0.111771	0.098228	0.343262	0.947998	-0.230957
50237	-0.24274	-9.734991	-0.695813	-0.003052	-0.113487	0.088501	0.345215	0.954346	-0.231689
50238	-0.245814	-9.716509	-0.628513	0.001907	-0.124741	0.085258	0.352295	0.947998	-0.234131
50239	-0.25446	-9.710634	-0.633999	0.012207	-0.137901	0.07782	0.345459	0.945801	-0.228516
50240	-0.244566	-9.686129	-0.699829	0.009727	-0.143433	0.073242	0.345703	0.943604	-0.233154
50241	-0.248116	-9.686249	-0.6826	0.016785	-0.147057	0.071716	0.344971	0.956543	-0.229248
