PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
44390	1.49411	-7.273522	5.026578	-0.515558	0.346566	-0.691226	0.342041	0.750244	-0.724854
44391	1.865063	-7.930634	4.845016	-0.607303	0.493815	-0.698856	0.334961	0.756592	-0.724854
44392	2.062519	-8.414547	4.774651	-0.594905	0.651554	-0.690845	0.330078	0.760986	-0.717285
44393	1.940225	-8.905815	4.853427	-0.552943	0.769047	-0.67902	0.339111	0.763184	-0.71582
44394	1.909753	-9.436604	4.881498	-0.442507	0.882726	-0.666241	0.343018	0.769531	-0.706787
44395	1.984028	-9.706588	4.894543	-0.339319	0.998694	-0.637821	0.338135	0.773926	-0.701904
44396	1.896865	-9.690478	4.739254	-0.248529	1.136788	-0.61131	0.346924	0.780273	-0.700684
44397	1.597754	-9.441757	4.53619	-0.186731	1.262675	-0.57755	0.349121	0.776123	-0.693115
44398	1.316882	-9.339113	4.480725	-0.160982	1.3672	-0.550657	0.359863	0.784668	-0.687256
44399	0.908326	-9.497742	4.45561	-0.138666	1.451888	-0.529485	0.366943	0.780273	-0.685059
44400	0.448109	-9.514079	4.367981	-0.105477	1.479355	-0.496488	0.378174	0.782471	-0.683594
44401	0.117475	-9.4006	4.209095	-0.069237	1.482406	-0.436406	0.382324	0.786865	-0.681885
44402	-0.111354	-9.208506	4.054276	-0.047493	1.458945	-0.384525	0.393311	0.793213	-0.673584
44403	-0.379821	-8.918487	3.938762	-0.032807	1.427663	-0.325778	0.393311	0.791016	-0.670898
44404	-0.671194	-8.623972	3.892577	-0.074387	1.376926	-0.27962	0.411133	0.793213	-0.669922
44405	-0.869962	-8.603436	3.919431	-0.12951	1.317606	-0.241854	0.415771	0.789062	-0.662598
44406	-1.077936	-8.58768	3.885123	-0.180246	1.257905	-0.206377	0.422363	0.793213	-0.661133
44407	-1.24873	-8.556272	3.852947	-0.218011	1.188667	-0.167085	0.429199	0.793213	-0.65918
44408	-1.396749	-8.860251	3.87092	-0.237466	1.089865	-0.111771	0.435303	0.797607	-0.647705
44409	-1.476037	-9.580691	4.067	-0.184441	1.013188	-0.070191	0.442139	0.79541	-0.643311
44410	-1.568043	-10.05718	4.177918	-0.086403	0.929454	-0.014877	0.446045	0.80835	-0.64209
44411	-1.661896	-10.221459	4.189937	0.076485	0.859835	0.039673	0.458008	0.793457	-0.636963
44412	-1.720364	-10.141061	4.172569	0.221062	0.782397	0.077629	0.458008	0.793457	-0.639404
44413	-1.746664	-9.721428	4.013914	0.33188	0.707437	0.106812	0.464844	0.79126	-0.632324
44414	-1.709747	-9.364108	3.943684	0.375176	0.649072	0.110054	0.473877	0.79541	-0.643311
44415	-1.792952	-9.219538	4.071842	0.396729	0.594522	0.102997	0.476562	0.784912	-0.637695
44416	-1.921609	-9.134757	4.072249	0.392915	0.535394	0.074005	0.483398	0.784912	-0.640625
44417	-1.946722	-8.823681	4.168147	0.366211	0.465584	0.050354	0.490479	0.778564	-0.643311
44418	-1.930241	-8.5226	4.072455	0.315285	0.398064	0.018311	0.48584	0.782715	-0.645752
44419	-1.940661	-8.119471	3.948871	0.229645	0.343514	-0.022888	0.488281	0.776367	-0.637939
44420	-1.858581	-7.759458	3.925717	0.117493	0.284386	-0.051308	0.488281	0.778564	-0.643066
44421	-1.765144	-7.563048	3.959121	-0.002289	0.223732	-0.084686	0.490479	0.778564	-0.643311
44422	-1.668381	-7.627962	3.994187	-0.115204	0.169754	-0.100899	0.494873	0.782715	-0.638916
44423	-1.519277	-7.872346	4.147367	-0.206757	0.130653	-0.081635	0.494873	0.780518	-0.636475
44424	-1.456061	-8.597608	4.327002	-0.245476	0.085068	-0.074196	0.494629	0.782715	-0.634033
44425	-1.318398	-9.318746	4.543423	-0.200653	0.068855	-0.032806	0.494873	0.780762	-0.633789
44426	-1.186154	-9.880938	4.552212	-0.08812	0.063705	0.014496	0.498779	0.789062	-0.632568
44427	-1.157989	-9.983642	4.47655	0.060272	0.058174	0.062561	0.492432	0.780762	-0.633789
44428	-1.143133	-9.830966	4.366199	0.189781	0.032425	0.091553	0.494385	0.784912	-0.629395
44429	-1.068221	-9.648991	4.207111	0.292397	0.022125	0.119019	0.492676	0.780518	-0.638672
44430	-1.141301	-9.396177	4.212159	0.348473	0.01812	0.120545	0.497314	0.77417	-0.635986
44431	-1.165136	-9.269043	4.246413	0.359535	-0.000763	0.118256	0.497559	0.77417	-0.638428
