PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
59633	9.796202	-0.434706	-0.687995	-0.300408	0.048065	0.048828	-0.757568	0.49292	0.144775
59634	9.820619	-0.462006	-0.611249	-0.289726	0.053597	0.044251	-0.757568	0.495117	0.13916
59635	9.85726	-0.489422	-0.614235	-0.26474	0.058174	0.039673	-0.758057	0.499512	0.149658
59636	9.90005	-0.491058	-0.671905	-0.250435	0.036621	0.028801	-0.755371	0.497314	0.138916
59637	9.875483	-0.483155	-0.713521	-0.243378	0.023842	0.037384	-0.755127	0.490723	0.147461
59638	9.863157	-0.516078	-0.68199	-0.230026	0.02327	0.041962	-0.757812	0.497314	0.147217
59639	9.83271	-0.587024	-0.744483	-0.222015	0.016212	0.03891	-0.755615	0.497314	0.149658
59640	9.832552	-0.588542	-0.768803	-0.212669	0.013733	0.024986	-0.755615	0.499512	0.146729
59641	9.893832	-0.526172	-0.792208	-0.174713	0.034523	0.039673	-0.753418	0.495117	0.157715
59642	9.893776	-0.46823	-0.704693	-0.143814	0.021744	0.042534	-0.750977	0.495117	0.154785
59643	9.918211	-0.367362	-0.689109	-0.138092	0.016975	0.032806	-0.755859	0.499512	0.1521
59644	9.905847	-0.376304	-0.633761	-0.134468	0.004196	0.041008	-0.755859	0.501709	0.1521
59645	9.857091	-0.422408	-0.708463	-0.131226	-0.003624	0.035095	-0.760498	0.497314	0.155518
59646	9.814043	-0.450078	-0.660746	-0.12207	-0.004959	0.047874	-0.750977	0.499268	0.143555
59647	9.783755	-0.483992	-0.660536	-0.117493	-0.021935	0.045013	-0.751221	0.501465	0.156982
59648	9.746668	-0.517903	-0.699766	-0.097466	-0.019455	0.039482	-0.743896	0.501221	0.142822
59649	9.777654	-0.526958	-0.708935	-0.072479	-0.015068	0.047302	-0.744385	0.503418	0.161621
59650	9.820044	-0.531259	-0.655209	-0.049591	-0.001907	0.047302	-0.753418	0.501465	0.151855
59651	9.81433	-0.459856	-0.598561	-0.03891	-0.006676	0.045013	-0.751221	0.503662	0.154053
59652	9.78352	-0.427154	-0.526701	-0.029945	-0.017929	0.038719	-0.746582	0.505615	0.153564
59653	9.808186	-0.404743	-0.544744	-0.040436	-0.029564	0.041199	-0.748779	0.503662	0.151123
59654	9.826084	-0.402183	-0.609456	-0.037003	-0.040436	0.035667	-0.753418	0.497314	0.157471
59655	9.83253	-0.441322	-0.637089	-0.037384	-0.045586	0.040436	-0.746338	0.499268	0.156738
59656	9.868689	-0.438384	-0.599537	-0.042152	-0.053406	0.027275	-0.755859	0.503662	0.14917
59657	9.924077	-0.404299	-0.576836	-0.042725	-0.060844	0.032043	-0.753662	0.501465	0.157227
59658	9.941833	-0.412958	-0.674209	-0.043869	-0.051117	0.024414	-0.746582	0.499268	0.162109
59659	9.948535	-0.416039	-0.685831	-0.040436	-0.043297	0.022888	-0.753418	0.499512	0.157471
59660	9.905338	-0.412248	-0.671783	-0.034904	-0.039291	0.028801	-0.746582	0.501465	0.156494
59661	9.905898	-0.434056	-0.654245	-0.038147	-0.021935	0.016785	-0.748779	0.503662	0.151123
59662	9.905573	-0.441238	-0.687873	-0.037003	-0.036621	0.009727	-0.751465	0.503662	0.164795
59663	9.954693	-0.415976	-0.691169	-0.036621	-0.028038	0.021362	-0.751465	0.503662	0.162109
59664	9.91173	-0.435839	-0.517131	-0.027657	-0.026703	0.011253	-0.746826	0.503662	0.161865
59665	9.869267	-0.476543	-0.599717	-0.032043	-0.030327	0.011444	-0.746582	0.501465	0.161865
59666	9.856827	-0.482861	-0.627023	-0.02327	-0.023651	-0.004005	-0.751465	0.505859	0.154053
59667	9.850977	-0.512532	-0.532962	-0.019073	-0.038719	-0.002289	-0.748779	0.49707	0.165283
59668	9.856775	-0.506708	-0.591538	-0.013542	-0.031662	0.008965	-0.753662	0.501465	0.162598
59669	9.875402	-0.488162	-0.575309	-0.002289	-0.031853	-0.002289	-0.746582	0.499268	0.159424
59670	9.887333	-0.48766	-0.651697	-0.027847	-0.02861	-0.006866	-0.749023	0.503662	0.162109
59671	9.936372	-0.445573	-0.673615	-0.017548	-0.04406	0.001526	-0.744385	0.505615	0.158691
59672	9.91159	-0.464484	-0.720155	-0.012779	-0.030899	0.011444	-0.748779	0.501465	0.156738
59673	9.924251	-0.43928	-0.745601	-0.016022	-0.018883	-0.002289	-0.749023	0.503662	0.162109
59674	9.899671	-0.414408	-0.765657	0.001144	-0.014496	-0.007057	-0.744385	0.501221	0.161621
59675	9.88765	-0.46402	-0.702447	0.022125	-0.012016	0.001526	-0.739502	0.499023	0.161377
59676	9.844749	-0.494447	-0.734192	0.028038	-0.014114	-0.008583	-0.749023	0.501465	0.164795
59677	9.851082	-0.487878	-0.641058	0.026703	-0.00515	-0.009918	-0.743896	0.49707	0.156738
59678	9.86942	-0.51773	-0.70822	0.043869	0.003052	-0.009346	-0.746826	0.499268	0.175537
59679	9.906055	-0.451171	-0.62824	0.048828	0.006294	-0.01297	-0.753662	0.499512	0.162842
59680	9.924333	-0.407205	-0.683116	0.055122	-0.008011	-0.021362	-0.744141	0.501221	0.158936
59681	9.936525	-0.377437	-0.653615	0.070953	-0.013542	-0.024414	-0.746582	0.501465	0.15918
59682	9.930333	-0.357618	-0.642209	0.081253	-0.006866	-0.016975	-0.744141	0.501221	0.15625
59683	9.857158	-0.359782	-0.568181	0.083923	-0.014305	-0.011444	-0.746582	0.501465	0.161865
59684	9.826528	-0.37089	-0.594332	0.079155	-0.026321	-0.022125	-0.748779	0.501465	0.156738
59685	9.838843	-0.38429	-0.635276	0.080872	-0.013542	-0.009918	-0.749023	0.503662	0.15918
59686	9.899758	-0.414641	-0.685361	0.072479	-0.017548	-0.005341	-0.749023	0.503662	0.153809
59687	9.924251	-0.420573	-0.697071	0.075531	-0.028801	-0.016785	-0.751221	0.501465	0.154297
59688	9.960732	-0.419216	-0.754085	0.082207	-0.017166	-0.023842	-0.751221	0.499268	0.159912
59689	9.991469	-0.389816	-0.775369	0.09613	-0.008202	-0.023651	-0.751221	0.501465	0.156982
59690	9.948712	-0.346191	-0.806542	0.086212	-0.009155	-0.010681	-0.751221	0.503662	0.148682
59691	9.875539	-0.322688	-0.793153	0.112152	0.00248	-0.025177	-0.744141	0.499268	0.161865
59692	9.863319	-0.321165	-0.780528	0.104713	-0.000381	-0.024414	-0.749023	0.507812	0.145508
59693	9.814415	-0.305275	-0.696291	0.114441	-0.013542	-0.006104	-0.751221	0.501465	0.156982
59694	9.802101	-0.329914	-0.75851	0.108719	-0.016403	-0.007629	-0.750977	0.499268	0.148926
59695	9.796118	-0.292703	-0.70236	0.115967	-0.012779	-0.013733	-0.74585	0.490479	0.151855
59696	9.808206	-0.328452	-0.673367	0.115013	-0.024796	-0.021362	-0.750977	0.495117	0.162842
59697	9.826594	-0.335437	-0.666394	0.114441	-0.026512	-0.01297	-0.746338	0.499268	0.151367
59698	9.832444	-0.359855	-0.8095	0.119782	-0.035858	-0.009155	-0.760254	0.497314	0.147461
59699	9.869315	-0.329429	-0.776101	0.123596	-0.02346	-0.01297	-0.750488	0.488525	0.152588
59700	9.89352	-0.286231	-0.772306	0.13485	-0.029373	-0.017548	-0.748535	0.499268	0.143311
59701	9.8937	-0.231799	-0.745983	0.125885	-0.030327	-0.012207	-0.746094	0.49707	0.151367
59702	9.881208	-0.225438	-0.767027	0.114822	-0.029373	-0.01297	-0.746338	0.501465	0.151123
59703	9.899763	-0.219218	-0.837964	0.12207	-0.038719	-0.020599	-0.748779	0.501465	0.156738
59704	9.917808	-0.26721	-0.847419	0.115395	-0.033569	-0.017738	-0.748779	0.499268	0.159668
59705	9.893671	-0.335411	-0.843899	0.112152	-0.03643	-0.015259	-0.748779	0.501465	0.148682
59706	9.869056	-0.383612	-0.827887	0.111771	-0.017929	-0.016212	-0.748535	0.499268	0.143311
59707	9.918168	-0.31087	-0.769793	0.119782	-0.018883	-0.017548	-0.746094	0.492676	0.151855
59708	9.93629	-0.279811	-0.75299	0.113869	-0.016022	-0.012398	-0.753174	0.497314	0.146729
59709	9.979223	-0.243991	-0.684018	0.112152	-0.011253	-0.010681	-0.743896	0.49707	0.151367
59710	9.960815	-0.207054	-0.739926	0.100327	-0.011063	-0.01297	-0.748779	0.501465	0.154053
59711	9.918192	-0.195147	-0.708352	0.102997	-0.008965	-0.010681	-0.748535	0.49707	0.151611
59712	9.863208	-0.121821	-0.720764	0.07534	0.005341	-0.004768	-0.74585	0.49707	0.137939
59713	9.826651	-0.103811	-0.77526	0.05188	-0.002861	-0.003052	-0.750977	0.499268	0.151855
59714	9.808227	-0.128582	-0.726912	0.045013	-0.006866	0.003052	-0.751221	0.503662	0.145996
59715	9.826624	-0.183038	-0.763417	0.041199	-0.01049	-0.004578	-0.748779	0.499268	0.154297
59716	9.826537	-0.231811	-0.788757	0.033379	-0.008011	-0.003242	-0.743652	0.494873	0.148682
59717	9.863237	-0.280893	-0.720771	0.02594	-0.012016	0.000763	-0.750977	0.501465	0.14624
59718	9.881406	-0.330044	-0.721217	0.017929	0.002289	0.002098	-0.748779	0.501465	0.151367
59719	9.86937	-0.317953	-0.701855	0.001526	0.000954	0.011444	-0.748291	0.494873	0.143799
59720	9.857045	-0.319012	-0.714405	-0.001144	-0.005913	0.009918	-0.743896	0.501221	0.148193
59721	9.875462	-0.329913	-0.683818	-0.004578	-0.004387	0.006866	-0.750977	0.501465	0.143555
59722	9.924154	-0.288183	-0.690957	-0.017166	-0.013351	0.014305	-0.753174	0.495117	0.149658
59723	9.924222	-0.311998	-0.721206	-0.010681	-0.019646	0.015259	-0.748291	0.49707	0.143555
59724	9.911705	-0.33804	-0.760075	-0.015068	-0.022507	0.019646	-0.748535	0.501465	0.140625
59725	9.893736	-0.329914	-0.769714	-0.023651	-0.012779	0.008392	-0.746094	0.499268	0.143311
59726	9.911863	-0.325284	-0.691393	-0.012207	-0.004959	0.023651	-0.748535	0.501465	0.135254
59727	9.905949	-0.311783	-0.690283	-0.018311	-0.011253	0.011444	-0.748291	0.49707	0.143555
59728	9.881353	-0.312768	-0.728027	-0.034523	-0.008392	0.011444	-0.744141	0.501221	0.153564
59729	9.838811	-0.31174	-0.690297	-0.029755	-0.011253	0.011444	-0.750977	0.49707	0.14917
59730	9.838617	-0.325187	-0.64874	-0.035858	-0.009537	0.017548	-0.748291	0.499268	0.135254
59731	9.857137	-0.330029	-0.653468	-0.038147	-0.006676	0.011444	-0.750977	0.49707	0.14917
59732	9.875316	-0.325509	-0.64846	-0.050926	-0.011063	0.024986	-0.753418	0.501465	0.146484
59733	9.881551	-0.348731	-0.67155	-0.055695	-0.001335	0.020599	-0.748779	0.503662	0.148438
59734	9.905824	-0.332452	-0.715156	-0.046921	-0.011826	0.026512	-0.751221	0.503662	0.148682
59735	9.954792	-0.342888	-0.744694	-0.043488	0.000191	0.025177	-0.743896	0.499023	0.145752
59736	9.924097	-0.375352	-0.726468	-0.038719	0.002289	0.019836	-0.748779	0.499268	0.151611
59737	9.91212	-0.348912	-0.737911	-0.043488	0.013924	0.023651	-0.746582	0.503418	0.150879
59738	9.93036	-0.351328	-0.700943	-0.02861	-0.00267	0.028801	-0.746094	0.499268	0.137695
59739	9.90596	-0.348852	-0.799711	-0.026703	-0.002098	0.021362	-0.746338	0.499268	0.156738
59740	9.893566	-0.357388	-0.781494	-0.01812	0.003433	0.031281	-0.748779	0.501465	0.148682
59741	9.8449	-0.349429	-0.757054	-0.022888	-0.003624	0.032806	-0.746582	0.503418	0.150879
59742	9.863064	-0.346619	-0.695816	-0.026703	0.0103	0.035858	-0.746826	0.507812	0.15332
59743	9.838793	-0.337282	-0.689981	-0.018311	-0.00515	0.033569	-0.746338	0.501465	0.145752
59744	9.844719	-0.353226	-0.757323	-0.015068	0.004196	0.043488	-0.746826	0.507812	0.15332
59745	9.838822	-0.349507	-0.720058	-0.022888	0.004005	0.034332	-0.744141	0.505615	0.142578
59746	9.887594	-0.339717	-0.750167	-0.01297	0.006104	0.016785	-0.743652	0.499023	0.13208
59747	9.91209	-0.318954	-0.652602	-0.016785	0.010109	0.032806	-0.739014	0.499023	0.139893
59748	9.91807	-0.304056	-0.73145	-0.012398	0.00267	0.037956	-0.748291	0.49707	0.143555
59749	9.88154	-0.306734	-0.68365	-0.018311	-0.000572	0.032806	-0.746338	0.505615	0.142822
59750	9.875247	-0.315631	-0.671761	-0.008774	-0.003433	0.024986	-0.748779	0.503662	0.151123
59751	9.863186	-0.324999	-0.678153	-0.019836	-0.012779	0.032043	-0.741699	0.505615	0.14502
59752	9.838522	-0.376271	-0.721983	-0.019646	-0.006104	0.019836	-0.744141	0.505615	0.147949
59753	9.875416	-0.361081	-0.665825	-0.01297	-0.01049	0.020599	-0.739502	0.505371	0.147461
59754	9.875225	-0.369727	-0.691066	-0.009155	-0.004196	0.031281	-0.744141	0.501221	0.150879
