PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
23010	0.744992	-9.939749	-2.094624	-0.042152	0.315285	-0.065613	-0.340088	0.873291	0.182129
23011	0.830076	-9.826488	-2.104121	0.005531	0.319672	-0.055695	-0.344727	0.871094	0.185059
23012	0.836682	-9.655515	-2.050853	0.033569	0.326729	-0.073242	-0.344727	0.873291	0.185059
23013	0.83721	-9.497274	-1.924626	0.057411	0.326538	-0.083923	-0.340332	0.875488	0.179443
23014	0.906401	-9.357129	-1.855558	0.055122	0.296593	-0.100708	-0.344238	0.866943	0.177979
23015	0.984976	-9.289306	-1.846135	0.039864	0.281525	-0.125122	-0.344482	0.866943	0.180664
23016	1.045683	-9.349508	-1.913903	0.016785	0.257683	-0.146675	-0.344238	0.866699	0.173096
23017	1.188489	-9.373878	-1.897195	-0.006676	0.222015	-0.179291	-0.344238	0.864746	0.175781
23018	1.362738	-9.438053	-1.865384	-0.025177	0.175858	-0.20237	-0.34668	0.864746	0.180908
23019	1.543623	-9.42188	-1.892344	-0.031281	0.158882	-0.215149	-0.351074	0.864746	0.17627
23020	1.720218	-9.460024	-1.966228	-0.03643	0.130081	-0.230599	-0.343994	0.862549	0.166016
23021	1.861318	-9.360494	-2.026056	-0.017548	0.122261	-0.228882	-0.353516	0.868896	0.171143
23022	1.945449	-9.221211	-2.136176	-0.036621	0.111008	-0.221443	-0.353271	0.864502	0.168945
23023	2.006714	-9.146447	-2.162119	-0.056458	0.110817	-0.211334	-0.355225	0.858154	0.172119
23024	2.04639	-9.104025	-2.203193	-0.086021	0.092697	-0.209999	-0.357422	0.855957	0.175049
23025	2.115353	-9.133663	-2.128643	-0.118256	0.074196	-0.193787	-0.359619	0.851807	0.175537
23026	2.207731	-9.205625	-2.274091	-0.154114	0.059128	-0.187874	-0.359619	0.85376	0.172852
23027	2.296494	-9.346648	-2.406688	-0.182343	0.045204	-0.152588	-0.362061	0.855957	0.172852
23028	2.316717	-9.516074	-2.45977	-0.18177	0.050735	-0.118256	-0.361816	0.851807	0.178223
23029	2.275447	-9.77478	-2.467279	-0.165558	0.04673	-0.089264	-0.368896	0.854004	0.178711
23030	2.253498	-9.922205	-2.510903	-0.116348	0.04921	-0.057983	-0.364014	0.851807	0.176025
23031	2.199803	-9.971794	-2.475113	-0.073242	0.042152	-0.040436	-0.368896	0.854004	0.178711
23032	2.129919	-9.982401	-2.533737	-0.016975	0.042343	-0.006104	-0.361816	0.849609	0.180908
23033	2.062013	-9.937285	-2.475782	0.037384	0.037575	0.028992	-0.359375	0.849609	0.17334
23034	1.986061	-9.841818	-2.402062	0.085068	0.025558	0.040436	-0.364014	0.851807	0.176025
23035	1.828982	-9.840588	-2.154556	0.121307	0.013161	0.045013	-0.366455	0.851807	0.178711
23036	1.696364	-9.862163	-2.075474	0.121117	-0.006104	0.045776	-0.364014	0.851807	0.170898
23037	1.694417	-9.779409	-2.063567	0.121307	-0.047874	0.038147	-0.364258	0.858154	0.163086
23038	1.756453	-9.752246	-2.046299	0.130081	-0.070572	0.040436	-0.359375	0.849609	0.170898
23039	1.822429	-9.773637	-2.056173	0.154114	-0.078392	0.035095	-0.364258	0.855957	0.173096
23040	1.81642	-9.692736	-2.065091	0.198555	-0.08316	0.053978	-0.366455	0.854004	0.176025
23041	1.75378	-9.493651	-1.962089	0.21286	-0.086021	0.067139	-0.359375	0.849609	0.170898
23042	1.678717	-9.28526	-1.894922	0.221634	-0.097275	0.067139	-0.361572	0.847412	0.173584
23043	1.570191	-9.12121	-1.846713	0.211334	-0.111961	0.076294	-0.357178	0.855957	0.162598
23044	1.512915	-9.033991	-1.727361	0.176048	-0.126648	0.066376	-0.360107	0.862549	0.172119
23045	1.418618	-8.992014	-1.667076	0.140381	-0.144005	0.051117	-0.362305	0.862549	0.16748
23046	1.374604	-9.01925	-1.719465	0.100327	-0.170898	0.050354	-0.357178	0.855957	0.165039
23047	1.314203	-9.156139	-1.719767	0.057983	-0.186729	0.055695	-0.355225	0.860352	0.172119
23048	1.196044	-9.291918	-1.717386	0.043297	-0.209808	0.046539	-0.362061	0.860352	0.170166
23049	1.124798	-9.430507	-1.720892	0.034332	-0.234032	0.049591	-0.355225	0.860352	0.169434
23050	1.024243	-9.486739	-1.755721	0.055313	-0.252152	0.047874	-0.359863	0.860352	0.172363
23051	0.904587	-9.418537	-1.700965	0.066566	-0.268555	0.054169	-0.357422	0.860352	0.167236
23052	0.754533	-9.383458	-1.721302	0.063705	-0.289345	0.048828	-0.350586	0.858154	0.169434
23053	0.544093	-9.363519	-1.688344	0.068855	-0.326538	0.052643	-0.357422	0.858154	0.172363
23054	0.411854	-9.285449	-1.769751	0.047112	-0.373268	0.028229	-0.35083	0.860352	0.171631
23055	0.270044	-9.31434	-1.683245	0.040436	-0.408745	0.025177	-0.35083	0.860352	0.179199
23056	0.218599	-9.394281	-1.681077	0.024223	-0.457383	0.003052	-0.35083	0.862549	0.174072
23057	0.191978	-9.521644	-1.598575	0.021553	-0.494385	-0.01297	-0.349121	0.866943	0.185791
23058	0.209943	-9.59535	-1.554402	0.033379	-0.528908	-0.016975	-0.353516	0.864746	0.183838
23059	0.203147	-9.680494	-1.554994	0.040627	-0.547791	0.002289	-0.351074	0.860352	0.181641
23060	0.224284	-9.717961	-1.545329	0.061798	-0.53959	0.016594	-0.353516	0.862549	0.189209
23061	0.110644	-9.753905	-1.523163	0.061989	-0.53711	0.025177	-0.351318	0.860596	0.196533
23062	-0.009952	-9.822088	-1.467158	0.078774	-0.534249	0.033379	-0.344727	0.869141	0.192871
23063	-0.084877	-9.790717	-1.423257	0.097084	-0.52414	0.036621	-0.344482	0.862549	0.195801
23064	-0.101521	-9.755519	-1.357599	0.115204	-0.511361	0.037193	-0.342285	0.860596	0.200928
23065	-0.006167	-9.687175	-1.299487	0.13752	-0.4982	0.060272	-0.344482	0.862549	0.198242
23066	0.102476	-9.561065	-1.311013	0.152779	-0.452233	0.08831	-0.342285	0.862549	0.198242
23067	0.114788	-9.290656	-1.262112	0.164795	-0.394249	0.102997	-0.340332	0.866943	0.202637
23068	0.087434	-9.079354	-1.321681	0.148773	-0.338555	0.121117	-0.347168	0.866943	0.198242
23069	-0.025799	-8.905816	-1.257752	0.126839	-0.271607	0.1297	-0.338135	0.866943	0.204834
23070	-0.157043	-8.772627	-1.328145	0.068665	-0.226593	0.141144	-0.338379	0.873535	0.201904
23071	-0.300019	-8.752147	-1.312634	-0.014496	-0.173759	0.13504	-0.340332	0.866943	0.202637
23072	-0.369174	-8.811985	-1.468872	-0.079918	-0.140381	0.130463	-0.338135	0.869141	0.204834
23073	-0.452274	-8.90956	-1.605997	-0.160217	-0.117302	0.1297	-0.328857	0.864746	0.204346
23074	-0.453277	-9.094983	-1.738733	-0.21286	-0.067139	0.121307	-0.333496	0.869141	0.206787
23075	-0.530216	-9.317436	-1.933891	-0.244141	-0.034904	0.106812	-0.329102	0.869141	0.211426
23076	-0.576832	-9.391091	-2.072805	-0.244713	-0.019073	0.092316	-0.32959	0.875732	0.21582
23077	-0.645242	-9.426663	-2.307105	-0.259399	-0.014305	0.089264	-0.32959	0.873535	0.218506
23078	-0.653408	-9.499313	-2.440877	-0.241852	-0.000763	0.077057	-0.331543	0.871338	0.216553
23079	-0.576388	-9.646733	-2.482707	-0.223541	-0.000572	0.054932	-0.326904	0.867188	0.213867
23080	-0.489768	-9.922452	-2.363996	-0.205803	0.008392	0.043488	-0.327148	0.873535	0.21582
23081	-0.367832	-10.25783	-2.188932	-0.193787	0.020027	0.035858	-0.333984	0.869385	0.22168
23082	-0.254692	-10.577573	-2.135243	-0.167847	0.041199	0.027466	-0.329346	0.869385	0.226318
23083	-0.171054	-10.777359	-2.180023	-0.131989	0.068855	0.016785	-0.331787	0.871582	0.226318
23084	-0.128483	-10.91554	-2.173102	-0.071526	0.102615	0.019073	-0.32959	0.873535	0.218506
23085	-0.121538	-10.955949	-2.02565	0.014496	0.126839	0.013733	-0.331787	0.871582	0.226318
23086	-0.108795	-10.786049	-1.940971	0.088882	0.143051	0.023651	-0.324707	0.871338	0.218262
23087	-0.067383	-10.511406	-1.757031	0.131989	0.154305	0.030518	-0.33374	0.867188	0.217041
23088	-0.061937	-10.227077	-1.74905	0.150108	0.186157	0.040245	-0.329346	0.869141	0.218994
23089	0.048888	-9.797479	-1.817765	0.145721	0.199318	0.035858	-0.328857	0.86499	0.211914
23090	0.10475	-9.367219	-1.932163	0.149727	0.232887	0.037193	-0.331543	0.869141	0.216553
23091	0.129579	-9.022421	-2.019929	0.139046	0.257874	0.026703	-0.329346	0.875732	0.208496
23092	0.14544	-8.738451	-2.056867	0.131226	0.274468	0.016594	-0.333496	0.869141	0.204346
23093	0.179401	-8.552119	-1.966472	0.110054	0.289917	0.010681	-0.329102	0.871338	0.201416
23094	0.208755	-8.480845	-1.902517	0.090981	0.29583	0.001335	-0.331299	0.869141	0.20166
23095	0.3144	-8.4722	-1.779203	0.060463	0.296021	-0.011444	-0.329102	0.869141	0.208984
23096	0.400129	-8.564524	-1.725096	0.033569	0.286675	-0.023842	-0.331299	0.869141	0.20166
23097	0.517131	-8.752357	-1.720296	0.00248	0.305939	-0.041199	-0.338135	0.871338	0.20459
23098	0.617042	-8.886408	-1.675626	-0.00248	0.3088	-0.032234	-0.335693	0.866943	0.199707
23099	0.724863	-9.032834	-1.72118	-0.024986	0.315857	-0.042725	-0.337891	0.866943	0.192383
23100	0.806631	-9.080847	-1.709186	-0.037003	0.320244	-0.026131	-0.335693	0.869141	0.19458
23101	0.889395	-9.11185	-1.753124	-0.06237	0.321961	-0.034332	-0.335449	0.866943	0.194824
23102	0.9838	-9.183368	-1.8425	-0.095558	0.349999	-0.023079	-0.337646	0.866943	0.1875
23103	0.99935	-9.282087	-1.951215	-0.128746	0.357819	-0.021362	-0.337891	0.869141	0.192383
23104	0.984772	-9.315686	-1.991554	-0.153351	0.348854	-0.038338	-0.340088	0.866943	0.195068
23105	0.951146	-9.422083	-2.019918	-0.156975	0.345612	-0.034332	-0.335693	0.869141	0.197021
23106	0.918344	-9.577249	-1.984386	-0.177574	0.320625	-0.038338	-0.337646	0.864746	0.190186
23107	0.884526	-9.702524	-2.100707	-0.175285	0.296021	-0.05188	-0.339844	0.860352	0.193115
23108	0.877394	-9.851323	-2.096369	-0.151825	0.248909	-0.0597	-0.342041	0.864746	0.187988
23109	0.902912	-9.928627	-2.209119	-0.134277	0.203896	-0.069428	-0.344238	0.858398	0.188721
23110	1.072704	-9.919369	-2.114674	-0.094605	0.164795	-0.078583	-0.34668	0.864746	0.188477
23111	1.213947	-9.856091	-2.101569	-0.056458	0.135994	-0.081635	-0.34668	0.864746	0.190918
23112	1.388835	-9.683045	-2.134944	-0.041008	0.114441	-0.073242	-0.342041	0.858398	0.193604
23113	1.463395	-9.526849	-2.172965	-0.018311	0.103951	-0.074005	-0.344238	0.860352	0.186035
23114	1.496541	-9.41563	-2.228008	-0.018692	0.113297	-0.061035	-0.348633	0.860352	0.183838
23115	1.529616	-9.374381	-2.221723	-0.020599	0.120735	-0.051117	-0.34668	0.862549	0.186035
23116	1.500624	-9.355089	-2.245566	-0.005531	0.130463	-0.052643	-0.346436	0.858398	0.191406
23117	1.383026	-9.350093	-2.276436	-0.013733	0.118446	-0.048828	-0.34668	0.864746	0.188477
