PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
51959	9.820572	0.738798	-0.750265	-0.032806	0.007057	-0.003052	-0.748047	0.399414	0.165527
51960	9.820568	0.684634	-0.791976	-0.028801	0.010681	-0.009155	-0.750732	0.401855	0.168213
51961	9.857229	0.677765	-0.859795	-0.011444	0.01545	-0.004578	-0.750732	0.401855	0.170898
51962	9.875646	0.696508	-0.90093	-0.01564	0.016403	-0.003242	-0.750977	0.401855	0.178955
51963	9.918281	0.70198	-0.951382	0.0	0.01545	-0.001526	-0.743408	0.399414	0.167725
51964	9.894007	0.683826	-0.992226	0.002861	0.024796	-0.003052	-0.750488	0.399658	0.165771
51965	9.869556	0.671891	-0.992834	0.012207	0.042152	-0.011444	-0.750488	0.397461	0.165771
51966	9.833162	0.648606	-0.977082	0.022125	0.033569	-0.016022	-0.74585	0.401611	0.17041
51967	9.820602	0.629426	-1.036704	0.040436	0.02079	-0.019836	-0.747803	0.395264	0.163086
51968	9.918273	0.704033	-1.059331	0.037956	0.022125	-0.016212	-0.753174	0.406006	0.162598
51969	9.985312	0.695994	-1.080559	0.048828	-0.001335	-0.009155	-0.750488	0.401611	0.162842
51970	9.936421	0.665912	-1.031973	0.034714	0.004196	-0.008583	-0.750488	0.399658	0.168457
51971	9.924335	0.762328	-0.964652	0.040436	-0.002861	0.008392	-0.753174	0.404053	0.170898
51972	9.869376	0.737551	-0.934385	0.03376	0.004959	-0.008583	-0.752686	0.399658	0.163086
51973	9.893825	0.775241	-0.945697	0.019836	0.008583	-0.003815	-0.75293	0.399658	0.168701
51974	9.912187	0.76924	-0.816255	0.02861	0.021362	-0.00248	-0.748291	0.401611	0.170654
51975	9.906089	0.806063	-0.730851	0.025177	0.03376	-0.009918	-0.752686	0.395264	0.171631
51976	9.90011	0.818819	-0.678678	0.015068	0.03891	-0.004768	-0.752686	0.397461	0.157959
51977	9.820703	0.756759	-0.589712	0.000763	0.047493	0.001526	-0.752686	0.399658	0.163086
51978	9.802608	0.689278	-0.590997	-0.008011	0.05188	0.00515	-0.755371	0.401855	0.171387
51979	9.82073	0.640994	-0.582883	0.008392	0.062752	-0.003052	-0.750732	0.401855	0.168213
51980	9.894366	0.617027	-0.717333	0.001717	0.058365	-0.00782	-0.75293	0.397461	0.176758
51981	9.936695	0.623283	-0.723343	0.009155	0.060463	-0.015259	-0.745605	0.397217	0.159912
51982	9.918677	0.625134	-0.753752	0.017548	0.067139	-0.024414	-0.748047	0.399414	0.160156
51983	9.918408	0.659939	-0.759739	0.019073	0.065804	-0.016785	-0.75293	0.399658	0.165771
51984	9.949268	0.710607	-0.771879	0.031471	0.064087	-0.02594	-0.752686	0.401855	0.157715
51985	9.973362	0.769999	-0.710034	0.030518	0.084114	-0.021362	-0.752686	0.397461	0.16333
51986	9.973635	0.826854	-0.646696	0.031662	0.090408	-0.021553	-0.757568	0.397705	0.166504
51987	9.918414	0.83076	-0.63073	0.023651	0.083351	-0.015259	-0.757812	0.404053	0.166016
51988	9.851686	0.813598	-0.641013	0.024223	0.086212	-0.011635	-0.75293	0.399658	0.165771
51989	9.814781	0.781189	-0.666657	0.018311	0.097847	0.0	-0.75293	0.401855	0.165771
51990	9.81521	0.786939	-0.553665	0.016403	0.095367	0.003624	-0.752686	0.399658	0.163086
51991	9.83295	0.775749	-0.477386	0.014496	0.09861	-0.01297	-0.754883	0.397461	0.158203
51992	9.81502	0.728122	-0.480092	-0.005531	0.096512	-0.013161	-0.752441	0.397461	0.152588
51993	9.765796	0.708331	-0.472078	-0.010681	0.081062	-0.006104	-0.754883	0.399658	0.155273
51994	9.741637	0.67868	-0.495095	-0.020599	0.072098	-0.011635	-0.752686	0.401855	0.157715
51995	9.723048	0.677938	-0.46627	-0.016785	0.074959	-0.008392	-0.752686	0.397461	0.157959
