PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
27779	6.263181	-2.395489	7.715804	0.161743	0.16346	-0.097656	-0.152588	0.337891	-0.623779
27780	6.196725	-2.078153	7.826865	0.163078	0.171661	-0.080299	-0.1604	0.34668	-0.618408
27781	6.134538	-1.658859	8.050235	0.144959	0.149727	-0.051117	-0.152344	0.333496	-0.628662
27782	6.001836	-1.456864	8.279477	0.102615	0.11673	-0.032234	-0.155029	0.337891	-0.628906
27783	5.954716	-1.267393	8.314974	0.054169	0.055122	0.003815	-0.149902	0.331299	-0.628662
27784	5.96318	-1.41373	8.238323	-0.013924	0.02594	0.044823	-0.155029	0.342285	-0.62915
27785	6.04238	-1.615199	8.049837	-0.050354	-0.009727	0.061035	-0.149902	0.333496	-0.628906
27786	6.006137	-1.978831	7.93094	-0.082779	-0.039673	0.08297	-0.162109	0.338135	-0.622803
27787	6.049232	-2.356349	7.852781	-0.098419	-0.042534	0.086975	-0.152832	0.342041	-0.626709
27788	6.123558	-2.435937	7.676911	-0.089455	-0.04158	0.08297	-0.153076	0.342285	-0.616211
27789	6.097517	-2.446307	7.633846	-0.074768	-0.024223	0.067139	-0.150635	0.342041	-0.624268
27790	6.091253	-2.467494	7.582211	-0.057983	-0.013351	0.061035	-0.148193	0.344238	-0.624756
27791	6.084304	-2.481484	7.647302	-0.04425	0.004768	0.057983	-0.155029	0.340088	-0.626465
27792	6.069833	-2.395975	7.653229	-0.031853	0.021744	0.043488	-0.155273	0.342285	-0.626465
27793	6.003533	-2.52907	7.868496	-0.021362	0.044441	0.045776	-0.147949	0.339844	-0.629639
27794	6.023571	-2.612321	7.907084	-0.018311	0.03891	0.030327	-0.153076	0.346436	-0.624512
27795	6.022839	-2.570318	7.837695	-0.01297	0.031471	0.007629	-0.147949	0.335449	-0.621338
27796	6.013751	-2.516745	7.961501	-0.009727	0.037003	0.006104	-0.145752	0.343994	-0.630127
27797	6.035646	-2.495968	7.886419	0.007629	0.019264	-0.002289	-0.145752	0.3396	-0.627197
27798	6.058101	-2.38526	7.863631	0.012589	0.030136	-0.001717	-0.148193	0.346191	-0.638184
27799	6.060177	-2.33699	7.831482	0.011444	0.017738	-0.006866	-0.150146	0.339844	-0.634766
27800	6.034165	-2.342344	7.765718	0.005913	0.024414	0.002098	-0.145996	0.348389	-0.633301
27801	6.029477	-2.336929	7.776712	0.013733	0.022316	-0.006104	-0.150146	0.335693	-0.623779
27802	6.052395	-2.353897	7.729419	0.011444	0.020218	-0.009346	-0.143311	0.343994	-0.638428
27803	6.035788	-2.349194	7.788742	0.012207	0.016975	-0.006104	-0.150879	0.348389	-0.627441
27804	6.058447	-2.395979	7.760122	0.023842	0.033951	-0.017738	-0.150635	0.344238	-0.629883
27805	6.065524	-2.342478	7.759024	0.019073	0.040627	-0.017548	-0.152588	0.337891	-0.626465
27806	6.056618	-2.260537	7.853394	0.017548	0.040054	-0.023079	-0.155273	0.344482	-0.63208
27807	6.065419	-2.111175	7.899254	0.006866	0.040627	-0.012207	-0.150146	0.337646	-0.62915
27808	6.086855	-2.091858	7.840761	0.012779	0.037384	0.003052	-0.150391	0.346436	-0.635254
27809	6.041057	-2.142031	7.838094	0.010681	0.035286	0.003815	-0.150391	0.337646	-0.621338
27810	6.05041	-2.246029	7.840151	-0.001907	0.032043	0.014305	-0.148438	0.346191	-0.619629
27811	6.035277	-2.197492	7.892624	0.005341	0.023842	0.014496	-0.145508	0.337646	-0.626953
27812	6.045361	-2.088837	7.912216	-0.006294	0.019836	0.02346	-0.150635	0.346436	-0.629883
27813	6.022902	-2.180575	7.886263	-0.016022	0.023079	0.032806	-0.150146	0.335693	-0.623779
27814	6.026431	-2.293723	7.899388	-0.014877	0.021744	0.035667	-0.147949	0.342041	-0.629883
27815	6.005411	-2.272109	7.903934	-0.019073	0.003242	0.028229	-0.143066	0.337402	-0.627197
27816	5.992591	-2.281892	7.945988	-0.026131	-0.006866	0.033379	-0.150635	0.342041	-0.618896
27817	6.006017	-2.309152	7.933863	-0.022125	-0.015068	0.038147	-0.143555	0.343994	-0.627686
27818	6.006701	-2.227968	7.913792	-0.029373	-0.023651	0.034142	-0.148193	0.344238	-0.624756
27819	5.982442	-2.437449	7.878219	-0.028992	-0.035667	0.033569	-0.145752	0.339844	-0.624512
27820	6.0456	-2.313536	7.863118	-0.026894	-0.037766	0.031853	-0.14624	0.346191	-0.619629
27821	6.056236	-2.139069	8.060829	-0.045776	-0.047112	0.032806	-0.143555	0.341797	-0.622314
27822	6.10233	-2.115513	7.909723	-0.07019	-0.061798	0.045776	-0.150879	0.352783	-0.635742
27823	6.050414	-2.439344	7.809822	-0.076294	-0.057793	0.035095	-0.143311	0.337402	-0.624512
27824	6.065244	-2.422949	7.695199	-0.063133	-0.040817	0.053406	-0.14624	0.350586	-0.628174
27825	5.999894	-2.499727	7.774684	-0.059509	-0.015068	0.035858	-0.140869	0.337402	-0.624756
27826	5.945172	-2.414447	7.772551	-0.055695	-0.009155	0.024414	-0.141602	0.350342	-0.625732
27827	5.9629	-2.401336	7.781343	-0.04425	-0.003624	0.031281	-0.145752	0.337646	-0.618896
27828	5.944386	-2.425251	7.773605	-0.051308	-0.010681	0.03109	-0.144043	0.352539	-0.620361
27829	5.96325	-2.39493	7.836108	-0.037384	-0.012016	0.029755	-0.143799	0.348145	-0.628174
27830	6.012071	-2.260007	7.846688	-0.046539	-0.009537	0.040436	-0.146484	0.354736	-0.625732
27831	6.036591	-2.273626	7.848054	-0.05188	-0.015831	0.035858	-0.148438	0.346191	-0.624756
27832	5.969654	-2.426681	7.815163	-0.061226	-0.013733	0.033569	-0.148682	0.352783	-0.630615
27833	5.987516	-2.426345	7.805412	-0.053406	-0.011253	0.03891	-0.143555	0.343994	-0.622314
