PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
41909	4.767569	-2.118585	8.843445	-0.007629	-0.019646	0.013733	-0.372314	0.067139	-0.930908
41910	4.726021	-2.143646	8.879227	0.002861	-0.011635	0.004387	-0.376953	0.065186	-0.93042
41911	4.730987	-2.154864	8.874027	-0.006866	-0.017357	0.000763	-0.379395	0.065186	-0.930176
41912	4.720184	-2.155663	8.818026	-0.005913	-0.018692	0.008202	-0.379639	0.067383	-0.922363
41913	4.761343	-2.172987	8.88026	-0.003052	-0.013542	0.0	-0.379395	0.062988	-0.927246
41914	4.744639	-2.136709	8.879238	-0.000763	-0.025558	0.006676	-0.381836	0.06958	-0.935547
41915	4.736746	-2.142413	8.87427	0.002289	-0.011253	0.007629	-0.377686	0.07373	-0.92041
41916	4.768241	-2.13027	8.818677	0.000572	-0.014114	-0.000954	-0.375	0.069336	-0.925537
41917	4.749008	-2.161142	8.825308	-0.008392	-0.012016	0.005341	-0.379639	0.06958	-0.925293
41918	4.743712	-2.137533	8.867314	-0.001335	-0.009346	0.008202	-0.381836	0.06543	-0.927246
41919	4.749207	-2.167072	8.874073	-0.000763	-0.01812	0.012207	-0.377197	0.065186	-0.927734
41920	4.73787	-2.149791	8.861074	-0.008965	-0.007629	0.012207	-0.376953	0.065186	-0.93042
41921	4.76104	-2.124435	8.874254	-0.007629	-0.007439	0.003052	-0.379639	0.065186	-0.924805
41922	4.749395	-2.125388	8.879768	-0.004578	-0.009537	0.012779	-0.377197	0.065186	-0.922363
41923	4.730397	-2.167192	8.868207	-0.002289	-0.007439	0.014496	-0.374512	0.062988	-0.93042
41924	4.736426	-2.162233	8.873981	-0.006676	0.000763	0.014305	-0.379639	0.067383	-0.927734
41925	4.742551	-2.160971	8.843851	-0.005341	-0.003624	0.003815	-0.38208	0.067627	-0.922119
41926	4.730648	-2.168108	8.837215	-0.008011	-0.008774	0.014305	-0.379639	0.067383	-0.927734
41927	4.742727	-2.179432	8.837614	-0.009155	-0.007439	0.003052	-0.372314	0.067139	-0.930908
41928	4.725113	-2.204678	8.910274	0.000954	-0.012589	0.012779	-0.379639	0.06958	-0.927734
41929	4.742136	-2.179	8.899072	0.003052	0.004768	0.007629	-0.377441	0.071533	-0.925537
41930	4.742601	-2.16064	8.862072	0.00267	-0.019073	0.000763	-0.38208	0.067627	-0.919434
41931	4.767058	-2.14271	8.892618	-0.007629	-0.00515	0.001526	-0.379395	0.063232	-0.921875
41932	4.736807	-2.167743	8.861719	0.000381	-0.004768	0.01049	-0.379639	0.06958	-0.925293
41933	4.724066	-2.173011	8.862295	0.005341	-0.002861	0.016785	-0.377197	0.065186	-0.925049
41934	4.736689	-2.155167	8.874062	-0.00267	-0.013733	0.005341	-0.370361	0.071289	-0.923584
41935	4.773769	-2.154471	8.867984	0.000763	-0.01812	-0.001526	-0.379639	0.065186	-0.924805
41936	4.756932	-2.191495	8.866988	-0.003624	-0.017929	0.011253	-0.379395	0.065186	-0.930176
41937	4.742777	-2.172579	8.843876	0.005341	-0.007439	-0.001526	-0.377197	0.065186	-0.927734
41938	4.743667	-2.165918	8.874009	0.004196	-0.011063	-0.007057	-0.372803	0.069336	-0.92041
41939	4.736413	-2.185154	8.874443	-0.001335	-0.002289	0.001526	-0.38208	0.06958	-0.925049
41940	4.743245	-2.173391	8.855564	-0.005722	-0.016212	0.0	-0.375	0.067139	-0.925293
41941	4.743045	-2.154495	8.837573	-0.003052	-0.012016	-0.007629	-0.384277	0.06543	-0.921631
41942	4.762298	-2.148721	8.867451	-0.000763	-0.011826	0.01049	-0.377197	0.067383	-0.927979
41943	4.7308	-2.148521	8.880288	-0.002289	-0.012779	-0.000763	-0.381836	0.067383	-0.92749
41944	4.719815	-2.160666	8.897858	-0.001144	-0.012398	-0.009346	-0.377441	0.06958	-0.925293
41945	4.742778	-2.191189	8.87432	-0.003052	-0.006676	-0.004578	-0.38208	0.06958	-0.922363
41946	4.725618	-2.154594	8.861396	-0.000763	-0.017929	-0.003242	-0.372314	0.064941	-0.925537
41947	4.749035	-2.117844	8.953611	0.005341	-0.012779	0.006866	-0.377197	0.067383	-0.922607
41948	4.762711	-2.136444	8.879425	-0.008583	-0.022125	-0.003052	-0.379395	0.071777	-0.941406
41949	4.761317	-2.160723	8.880288	-0.003815	-0.012016	-0.003815	-0.379639	0.06958	-0.927734
41950	4.708142	-2.173266	8.928095	-0.002289	-0.027847	0.00515	-0.377197	0.06958	-0.927979
41951	4.743143	-2.142074	8.898609	0.003815	-0.015068	-0.003815	-0.377441	0.071533	-0.930908
41952	4.707959	-2.178811	8.879435	-0.006676	-0.018692	0.001526	-0.377197	0.067383	-0.927979
41953	4.72549	-2.17279	8.904318	0.003815	-0.031853	0.004578	-0.377197	0.06958	-0.927979
41954	4.721841	-2.130332	8.921132	-0.002289	-0.027847	0.008392	-0.377441	0.071533	-0.928223
41955	4.749348	-2.147974	8.8925	0.008392	-0.017357	-0.003815	-0.377441	0.06958	-0.922607
41956	4.73919	-2.15416	8.891378	-0.006676	-0.029755	0.007629	-0.377197	0.065186	-0.922363
41957	4.725551	-2.160951	8.867572	-0.006104	-0.032616	0.001526	-0.370117	0.067139	-0.925781
41958	4.758917	-2.155687	8.896335	-0.009537	-0.032425	0.002289	-0.379639	0.063232	-0.916748
