PacketCounter	HE_Acc_X	HE_Acc_Y	HE_Acc_Z	HE_FreeAcc_X	HE_FreeAcc_Y	HE_FreeAcc_Z	HE_Gyr_X	HE_Gyr_Y	HE_Gyr_Z	LB_Acc_X	LB_Acc_Y	LB_Acc_Z	LB_FreeAcc_X	LB_FreeAcc_Y	LB_FreeAcc_Z	LB_Gyr_X	LB_Gyr_Y	LB_Gyr_Z	LF_Acc_X	LF_Acc_Y	LF_Acc_Z	LF_FreeAcc_X	LF_FreeAcc_Y	LF_FreeAcc_Z	LF_Gyr_X	LF_Gyr_Y	LF_Gyr_Z	RF_Acc_X	RF_Acc_Y	RF_Acc_Z	RF_FreeAcc_X	RF_FreeAcc_Y	RF_FreeAcc_Z	RF_Gyr_X	RF_Gyr_Y	RF_Gyr_Z
0.0	9.347219621741568	0.7395144396352658	3.426769855070641	-0.06894181786472026	0.13617308575852857	0.9028232075706093	-0.14258955360942616	0.20409203644730547	-0.15384377749756328	10.095452566235235	0.5508756673925544	0.915962030449954	0.18827197623507677	-0.02024034760742971	-0.08391973455003982	-0.14247762118168267	0.022357575706204266	0.00456489318716575	5.185432463672833	0.05948612380926355	8.930455538943281	-0.0379581063272255	-0.11206672619073466	0.0868159439433471	-0.012285233346330622	0.03142135077437596	0.011142267963073799	5.894425383958321	-1.6017243134840033	8.278630372347248	-0.024305111041617325	-0.05363079848402254	0.013214137347319518	-0.0223385772932229	-0.015687619959151744	0.021012162028060607
1.0	9.253136411414015	0.6227921671268366	3.489102166401295	-0.1856640903731476	0.2302562960860755	0.9651555189012959	-0.14272083855954698	0.1864334093106888	-0.12164639769205698	10.015854439710813	0.5515111080801056	0.9242142536536442	0.10867384971079852	-0.0196049069198786	-0.07566751134635953	-0.13574127533935507	0.015265993034472701	-0.0026129945474306915	5.237500577741866	0.08320789500507488	8.947910113347886	0.014110007741860133	-0.08834495499492229	0.10427051834790897	0.0003612980006873713	0.02944213248807674	0.006000825867914276	5.900270043326071	-1.6268413448411576	8.271071692891825	-0.018460451673920686	-0.07874782984118205	0.0056554578919270375	-0.0210671439563449	-0.007598190411192195	0.018111039585856404
2.0	9.131991559846469	0.5228180495618528	3.5350669993694988	-0.2856382079381324	0.35140114765357056	1.011120351869538	-0.1392449982443182	0.16837315334642547	-0.09303483713303909	9.94017370094172	0.5469362800210753	0.9398323809601586	0.0329931109418091	-0.024179734978915565	-0.06004938403985169	-0.12728881238988948	0.010773178167077537	-0.00822486363555626	5.269673504710799	0.11318211451395793	8.953560525218657	0.04628293471087265	-0.05837073548603894	0.10992093021862946	0.01268799196029785	0.032071450253581574	0.0006784794801626998	5.901885081670436	-1.6530581025829294	8.26512802346421	-0.016845413329618242	-0.10496458758294498	-0.00028821153568011563	-0.02024325051869834	-0.000388390079121505	0.01698049624646115
3.0	8.97653325024945	0.4510802460499845	3.55574145586846	-0.35737601145000397	0.5068594572505005	1.0317948083685125	-0.13044858963879777	0.14814060611712487	-0.07009252844057375	9.874481067959852	0.5369520428532827	0.9676762020942212	-0.032699522040023306	-0.034163972146718916	-0.032205562905788354	-0.1158685185749569	0.010073010826601798	-0.011012548068150484	5.266601587731367	0.15384348957874378	8.940482066358653	0.04321101773149332	-0.017709360421253737	0.09684247135859017	0.023655400008553682	0.04088498031897902	-0.004445414108527761	5.897382101409527	-1.679690347046877	8.261518247437392	-0.021348393590560014	-0.1315968320468765	-0.0038979875625285523	-0.019885540280402986	0.005415901443859778	0.018314140126701014
4.0	8.807068136342599	0.41062735985940885	3.5528750352924057	-0.3978288976405837	0.6763245711572647	1.0289283877924347	-0.11727248037496682	0.12247969600486568	-0.052779268919128076	9.82611280513615	0.5278488908820763	1.008843443945377	-0.08106778486373006	-0.04326712411793425	0.008961678945374774	-0.10109554786970437	0.012383278419576508	-0.010385760143311254	5.222725415745635	0.20590088166592568	8.910052601084015	-0.0006651542542424496	0.034348031665927134	0.06641300608395619	0.03130439056213197	0.05311448891796806	-0.008267270425782142	5.88811768388245	-1.7036751254432965	8.259796270422052	-0.030612811117621985	-0.15558161044328658	-0.005619964577925588	-0.01947789382118882	0.009761901027742692	0.021299206639838114
5.0	8.661812301783169	0.3959278223912722	3.5365306568157635	-0.4125284351087237	0.8215804057166513	1.0125840093157492	-0.10255211757595388	0.08826738864685164	-0.03951147868454093	9.799896584313222	0.5291396374617381	1.0604818936853149	-0.10728400568666026	-0.04197637753827392	0.06060012868532257	-0.08365283407790189	0.01551823578364693	-0.006686531086586702	5.1467352073168335	0.26446177447978403	8.87223627137819	-0.07665536268309583	0.0929089244797848	0.028596676378175482	0.03346690361420094	0.06310324852512854	-0.00938391667605465	5.877705700277326	-1.7206552077306574	8.258805413908112	-0.04102479472269885	-0.172561692730655	-0.006610821091918779	-0.018240088655208854	0.012965219427999832	0.024049442926077434
6.0	8.576692077663939	0.3957937264150098	3.5189504729305736	-0.4126625310849876	0.9067006298358915	0.9950038254305296	-0.08929190563910862	0.04476542452015371	-0.02849673361808513	9.794310126986955	0.5477343532163207	1.1165327213069167	-0.11287046301290274	-0.0233816617836836	0.11665095630693138	-0.06517956352567696	0.01715869744480611	-0.001174427523612176	5.061759459864883	0.31886159577209694	8.842077913693242	-0.16163111013511489	0.14730874577209746	-0.0015616813067158577	0.02902771826682009	0.06557805758682826	-0.006912317700880195	5.869804651847356	-1.7270257483034344	8.257645676368167	-0.04892584315262351	-0.17893223330345334	-0.007770558631879179	-0.015616210330866473	0.015469424494283313	0.02463714039276217
7.0	8.567441161401641	0.3981405042069628	3.5084182195064684	-0.41031575329303405	0.9159515460982378	0.9844715720064298	-0.07906724919189248	-0.00511571148549565	-0.01894613568542301	9.801114324050447	0.5834150631224946	1.1689536311699356	-0.10606626594937323	0.012299048122502996	0.16907186616994976	-0.047795907772127874	0.01601505971744323	0.0043910935487235115	4.9982775042118845	0.35557110424150695	8.833197836141947	-0.22511306578816556	0.18401825424150747	-0.010441758857970882	0.018990536686497198	0.058765550080082975	-0.0012212349574188897	5.866040812975668	-1.7217140769332224	8.256518050542736	-0.05268968202429163	-0.17362056193326253	-0.008898184457275716	-0.011677996376287275	0.017638146633799156	0.022124768055760316
8.0	8.624421704330466	0.39462140766937703	3.506311720670502	-0.4138348498306178	0.8589710031694666	0.9823650731704988	-0.07145448480706826	-0.0555186887335405	-0.01144141378823705	9.809557663571221	0.6285126911315787	1.2092430328038715	-0.09762292642858766	0.05739667613159753	0.2093612678038786	-0.033368486341915936	0.012273066376722503	0.008458311093064967	4.980824091818263	0.36380471462722946	8.850933453840998	-0.24256647818180105	0.19225186462723012	0.0072938588410909975	0.006599480286483379	0.04549583025136399	0.0059295991013123195	5.865239632068162	-1.7067845929888408	8.256791309058325	-0.05349086293180969	-0.1586910779888877	-0.008624925941615352	-0.007202806020950341	0.01967841543740357	0.01703499840058117
9.0	8.721677583933278	0.38325455735648545	3.5081832007627103	-0.4252017001435073	0.7617151235666759	0.984236553262749	-0.06465756089866435	-0.09995470019440864	-0.007323987573018056	9.812608550665717	0.6718818584125019	1.23038593043507	-0.0945720393341237	0.10076584341252307	0.23050416543506883	-0.022797102280274695	0.007250258050364367	0.010333455096788678	5.014685247478637	0.3412836693859746	8.888747187916637	-0.208705322521399	0.16973081938597528	0.04510759291672088	-0.0037690460122404706	0.031661226475236615	0.012037752702386722	5.864279835598395	-1.686774866118125	8.260118777782056	-0.05445065940160684	-0.13868135111815974	-0.005297457217808547	-0.0033751571524778304	0.02166225216434413	0.011048532803163822
10.0	8.832738983510016	0.3680611817493172	3.5073329253898318	-0.44039507575067444	0.6506537239899272	0.9833862778898954	-0.05676030025342157	-0.13385041762639835	-0.007583514709391925	9.810811953853667	0.7046012530630317	1.2291653692675597	-0.09636863614623109	0.1334852380630463	0.2292836042675546	-0.0156771036143036	0.002642608810357757	0.010396985299304136	5.080882825340471	0.2967232139058181	8.930479339329619	-0.1425077446595021	0.12517036390581832	0.08683974432969954	-0.008519168983175299	0.022969220951938606	0.015004960334550748	5.859952413925231	-1.6673181683731275	8.267144255197955	-0.05877808107478709	-0.11922465337314082	0.0017280201981286181	-0.001255995501983643	0.02354061267232652	0.006150041816789934
11.0	8.942579192538377	0.3560829563046884	3.498391703342355	-0.45237330119530306	0.5408135149615501	0.9744450558424141	-0.0467578560986406	-0.1559030382798885	-0.011972269106189775	9.810894354125251	0.723991245238815	1.2080941232956615	-0.09628623587468986	0.15287523023881822	0.20821235829565926	-0.010569342714237186	-0.0001776389439093599	0.009749571251344956	5.144246645089139	0.2469734881486313	8.958011921376606	-0.0791439249107607	0.0754206381486306	0.11437232637671085	-0.006570901524358771	0.02190371524754493	0.014143496613938048	5.850749898530943	-1.6536992003928375	8.276730825280552	-0.06798059646905048	-0.1056056853928352	0.01131459028070182	-0.0012761985397287251	0.025093457418035467	0.0037046681112181067
12.0	9.049244622879772	0.35333025612910146	3.4791346124998985	-0.45512600137089104	0.4341480846201733	0.9551879649999301	-0.03481718644387063	-0.16769038464428995	-0.018854507728511934	9.820066194293023	0.7338351658554514	1.1756304558374553	-0.08711439570691734	0.16271915085544467	0.17574869083746136	-0.005811217325727519	-0.0005796810037393196	0.009511615948928472	5.17166709821962	0.20974140762206336	8.960529477133319	-0.0517234717802238	0.03818855762206169	0.11688988213345965	9.706253394407794e-05	0.026630528767215472	0.01044341178354309	5.8377005313614525	-1.649662592569109	8.28634556370377	-0.08102996363847667	-0.10156907756910498	0.02092932870384573	-0.0030046621340527485	0.025879309306769963	0.003921365032825791
13.0	9.156349238583804	0.36166888024475824	3.4502711293534336	-0.44678737725523654	0.3270434689162161	0.9263244818534363	-0.02180133741444525	-0.1720806069304154	-0.025813394666003766	9.840162359336539	0.7410450588062958	1.1436596419247929	-0.06701823066336551	0.1699290438062858	0.143777876924807	-0.00047753766982450466	0.001177735589976722	0.01021929004589047	5.150618906682038	0.19558291450971252	8.94012444670551	-0.07277166331779233	0.024030064509710347	0.09648485170565775	0.007519297025116838	0.032395333933595664	0.005937389342714432	5.823963049140082	-1.6564967084826479	8.293403863637018	-0.09476744585977818	-0.10840319348265269	0.027987628636997833	-0.005320124075521065	0.02531246118890377	0.005903277598628433
14.0	9.263268710069102	0.37815211951628935	3.41417423171884	-0.4303041379837085	0.22012399743101563	0.8902275842188326	-0.008539813511806715	-0.17157953534068063	-0.030608835838827717	9.865865275319274	0.7509172262136978	1.122674052715526	-0.04131531468059634	0.17980121121369208	0.12279228771554171	0.0050496199497081316	0.004002742842493739	0.01166959812050463	5.096828496894769	0.20350809416982468	8.910318875214498	-0.12656207310509957	0.03195524416982265	0.06667928021459624	0.011924792239948979	0.03450166808508627	0.0025525512817422707	5.813506836483779	-1.6724461780067041	8.29665076972247	-0.10522365851606166	-0.12435266300671907	0.031234534722374772	-0.006920826263191841	0.022923890369958327	0.008172991286749113
15.0	9.360149403594004	0.397071260577043	3.373769011417481	-0.41138499692295766	0.12324330390617166	0.8498223639174852	0.004624958187842167	-0.16756182468245898	-0.03194569994774	9.888205235909899	0.7636346127341057	1.1168700595110042	-0.018975354089982143	0.1925185977341086	0.11698829451101288	0.009290745067883917	0.006267193913042651	0.013233313364172493	5.045896512923451	0.2225522038221713	8.88826483620285	-0.17749405707648794	0.05099935382217014	0.0446252412028649	0.011816106359726717	0.03109188605987584	0.0011380754183828719	5.809524153070477	-1.6927493253152144	8.296618648621697	-0.10920634192942168	-0.14465581031523225	0.031202413621572937	-0.00692333557149976	0.018696268823391086	0.009361837141358416
16.0	9.430600381373226	0.41360227675816275	3.3321746451814724	-0.3948539807418393	0.0527923261269159	0.8082279976814964	0.01778807785827971	-0.16061551528742066	-0.029700779505141075	9.900656494486775	0.7737979951816337	1.1221026638274056	-0.006524095513164738	0.20268198018164493	0.12222089882740242	0.010634868303245983	0.0064051976235324605	0.014333943760772678	5.03318263431697	0.23826713187553203	8.885232964735978	-0.1902079356830271	0.0667142818755328	0.041593369735918845	0.008729089194066892	0.024157119303228124	0.0012107374339136374	5.813201571207164	-1.71067372340097	8.294893966986526	-0.10552892379283646	-0.16258020840098392	0.029477731986432217	-0.005237163126154231	0.013245426205772414	0.008740948522415764
17.0	9.459800903858923	0.4270359719835929	3.292785270434389	-0.38142028551640833	0.02359180364110976	0.7688386229344231	0.031085257382784417	-0.1515071619314158	-0.02460924633993135	9.903335848290064	0.7731638962033487	1.1283958704419081	-0.003844741709941847	0.20204788120336387	0.1285141054418957	0.008575627777178173	0.0036871598696124434	0.014725454009180286	5.073249693019205	0.24042999332806494	8.900911725145468	-0.15014087698080464	0.06887714332806846	0.0572721301453783	0.006205586727079872	0.01828595276422927	0.0014863140078349862	5.823245508396505	-1.7195834887125816	8.292810487584086	-0.09548498660356668	-0.17148997371259248	0.027394252584065217	-0.0025142908703613097	0.007669775465773542	0.006407856492558729
18.0	9.443047500740507	0.44166933429333777	3.2589947198787366	-0.36678692320666023	0.04034520675941126	0.7350480723787647	0.044298021959467956	-0.1419526139181721	-0.017702186725822817	9.902328263825712	0.7552192980791508	1.1259877284484963	-0.0048523261743197744	0.1841032830791635	0.12610596344848332	0.004493842530570553	-0.001227093250071328	0.014423630664794207	5.150425823202816	0.22790240305348605	8.924498786689524	-0.07296474679716151	0.05634955305349196	0.08085919168944945	0.00757801331307074	0.01794232935786249	0.0007926775611777131	5.836275150775943	-1.7154456456241172	8.290578663546677	-0.08245534422411976	-0.16735213062412946	0.025162428546730446	0.0002843128247986462	0.0030949142687626582	0.003125029514889446
19.0	9.390306778482973	0.46456575978617426	3.2330972915323652	-0.3438904977138191	0.09308592901688992	0.7091506440323818	0.05673026361248033	-0.1345614657464062	-0.009858762047680977	9.904784134180426	0.7193260638661527	1.1114411246981337	-0.0023964558195835642	0.14821004886615727	0.11155935969812888	0.0014322550823482705	-0.006408029732658109	0.01345637189329001	5.225828212679036	0.20846090417641588	8.941437202554804	0.0024376426791050533	0.036908054176422275	0.09779760755476287	0.013883931624436525	0.02481871071181312	-0.0012147797935894524	5.8479525915678074	-1.6986975171443555	8.287475574289756	-0.0707779034321836	-0.15060400214437036	0.022059339289842744	0.002433299196666509	0.0001601760167327262	-5.7385397155604573e-05
20.0	9.324725115022845	0.5011017996555884	3.2148081004632747	-0.3073544578444005	0.15866759247703033	0.6908614529632838	0.06739037729755176	-0.13185207938451216	-0.0016798338351712463	9.913456056341538	0.6722618529408422	1.0899783792840152	0.006275466341570028	0.10114583794083722	0.09009661428402155	0.0028414893732850513	-0.009571052574973713	0.011735957644253569	5.257403960316238	0.1941673487525845	8.941646371051997	0.034013390316327045	0.022614498752589002	0.09800677605198484	0.023149197847541294	0.03669682484565138	-0.003924347901371895	5.854519042519686	-1.6744568688523709	8.282873187947144	-0.0642114524802337	-0.12636335385238556	0.01745695294720634	0.0037641994895842887	-0.0012389991106676469	-0.0022162751687557223
21.0	9.275509017747424	0.550645948644017	3.2005962273062707	-0.2578103088559706	0.2078836897524829	0.6766495798062763	0.07532161009924841	-0.13482353301203034	0.006365651049127038	9.924631434188958	0.6261172170345011	1.072376140711416	0.01745084418901396	0.055001202034490514	0.07249437571143037	0.010893157863429016	-0.009357884671961067	0.009215579709457838	5.222794195961467	0.1948877845523372	8.924793080917864	-0.000596374038474531	0.023334934552338538	0.08115348591787562	0.03145392609643195	0.04841670975291711	-0.006224326888070172	5.8542402144455785	-1.65074198540372	8.277231723607626	-0.0644902805543228	-0.10264847040373072	0.011815488607619615	0.004587442761955833	-0.0017848767585535341	-0.002862311157259757
22.0	9.267432571762358	0.6049803652429138	3.184853706238352	-0.20347589225707724	0.21596013573754852	0.6609070587383541	0.07989409201978005	-0.141927111484687	0.013745560355927462	9.930888581097356	0.5933044531325841	1.0681772636801126	0.02370799109739622	0.022188438132573523	0.06829549868012853	0.025279859498961815	-0.006197343180577768	0.006203245497400749	5.133069345891631	0.2131352155740771	8.900188384093262	-0.09032122410838209	0.04158236557407572	0.05654878909330913	0.035139488969387775	0.05447079982151747	-0.007207381802397104	5.848187711467742	-1.6353537022512454	8.272222436759709	-0.07054278353219538	-0.08726018725125027	0.006806201759633739	0.005319576491049856	-0.0022457731690098395	-0.002064216015785357
23.0	9.310597096833677	0.6508212074414166	3.1627248328089324	-0.15763505005858228	0.1727956106661839	0.6387781853089278	0.08097350395466663	-0.1491933110180353	0.019832390735201322	9.926661967403392	0.5810583075058615	1.0793997643481577	0.01948137740340005	0.009942292505854206	0.07951799934816914	0.043215219943230986	-0.0021198825181822437	0.0035194078097013004	5.029323824934734	0.24262795633500578	8.881762205066359	-0.19406674506535704	0.07107510633500312	0.03812261006645599	0.032862167930425325	0.051911622166074825	-0.006684171378511907	5.839912163372724	-1.6327982832148507	8.269833218006278	-0.07881833162725696	-0.08470476821485166	0.00441698300617025	0.006124531748053687	-0.002966190357604238	-0.0003846187531813519
24.0	9.394792064268202	0.6755478351754451	3.132992986746228	-0.1329084223245619	0.08860064323159704	0.6090463392462159	0.07898643352560568	-0.15171822644066021	0.02407879775927246	9.912677942391314	0.588297815520449	1.0987237801426961	0.005497352391324855	0.017181800520444147	0.09884201514269954	0.060690854293767964	0.00045997587910273646	0.0022633458147392135	4.962445348379543	0.27129670072365303	8.880821849306916	-0.2609452216205891	0.09974385072365059	0.03718225430705914	0.026318091968793842	0.042053464836642636	-0.005224082956791373	5.833973817538719	-1.6426479013044817	8.271113514020502	-0.08475667746126025	-0.09455438630448457	0.005697279020406086	0.006849571363602419	-0.003659390611158263	0.001330893649097558
25.0	9.491956618245087	0.6732745496781014	3.098966423571001	-0.135181707821909	-0.008563910745320777	0.575019776070983	0.0749134482499461	-0.14593460718598195	0.026264555047899686	9.896162553973	0.6066084594149911	1.1134057293663098	-0.011018036026915085	0.03549244441498584	0.11352396436630598	0.07432173869211195	0.0002796371649744931	0.0032443026583213034	4.965726708604078	0.2874351282853368	8.900191378048582	-0.2576638613960304	0.11588227828533579	0.05655178304874922	0.019256310135892345	0.02998582371836828	-0.003744032094156829	5.833883177672535	-1.660003836849401	8.27550081185225	-0.08484731732739252	-0.1119103218494123	0.010084576852198284	0.0072875656750542184	-0.0036326449030881416	0.002241153422252088
26.0	9.567117528508282	0.6479547341251426	3.066430589550124	-0.16050152337486417	-0.08372482100848865	0.5424839420501069	0.07017516267257312	-0.1315260655032318	0.02661945807658283	9.886627910210555	0.6248901312312614	1.1126309144234499	-0.020552679789253	0.053774116231254124	0.11274914942344358	0.08276733894339984	-0.0018939829495847687	0.006415481404005093	5.035381714502306	0.2859505430953451	8.932656088793617	-0.18800885549771912	0.11439769309534617	0.08901649379379073	0.015382520366963772	0.022016410075020452	-0.002938510378573458	5.840444494241843	-1.6776745781258813	8.28120954747642	-0.07828600075803051	-0.1295810631259051	0.015793312476424303	0.007516337651913644	-0.002301680709086806	0.0017861520283408733
27.0	9.593693417644396	0.6117044768154657	3.0398092032158055	-0.19675178068453256	-0.11030071014451971	0.5158625557157979	0.06634152337619324	-0.1118852798099211	0.02572178971131867	9.889982012985156	0.6351709270282144	1.0938898875110818	-0.01719857701459016	0.06405491202820573	0.09400812251107851	0.08697577089363272	-0.0036409578795164993	0.010706828172032886	5.131168977937952	0.2712099962153549	8.964578729861287	-0.09222159206197317	0.09965714621535762	0.12093913486146449	0.016366285404262878	0.02231767821667217	-0.002927124350120277	5.851420449082532	-1.6889346938800749	8.286330502943848	-0.06731004591733694	-0.14084117888011	0.02091426794390571	0.007982528665812593	0.0003363300248128038	-0.00013535779360521926
28.0	9.565827901880468	0.5791611735983665	3.0191637163354383	-0.22929508390162315	-0.08243519438049912	0.49521706883544747	0.06467484823248684	-0.09273444033644576	0.02423605464944905	9.904759426718169	0.6364549113223406	1.0645537933402303	-0.0024211632816157356	0.0653388963223318	0.06467202834023296	0.08920189836640939	-0.0023263862427645703	0.014433681753469738	5.198242001939256	0.25452359261808805	8.982851137975722	-0.025148568060605378	0.08297074261809133	0.13921154297590174	0.021064202497085984	0.0306047546485917	-0.003334527258080273	5.862751661080329	-1.6896864298264764	8.28977892496667	-0.05597883391959815	-0.14159291482651734	0.024362689966769387	0.009195701624176227	0.0035852307949074498	-0.003151182898786229
